"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2001","153","PM2.5","San Francisco","06-075-0005","AQS","20","15","10","50","153","47"
"01/02/2001","140","PM2.5","San Francisco","06-075-0005","AQS","27","3","13",".","140","54"
"01/03/2001","140","PM2.5","San Francisco","06-075-0005","AQS","27","6","13",".","140","55"
"01/04/2001","107","PM2.5","San Francisco","06-075-0005","AQS","26","6","13",".","107","53"
"01/05/2001","124","PM2.5","San Francisco","06-075-0005","AQS","33","5","14",".","124","56"
"01/06/2001","147","PM2.5","San Francisco","06-075-0005","AQS","35","7","13",".","147","48"
"01/07/2001","150","PM2.5","San Francisco","06-075-0005","AQS","22","23","9","55","150","50"
"01/08/2001","39","NO2","San Francisco","06-075-0005","AQS","18","23","6",".","34","39"
"01/09/2001","43","NO2","San Francisco","06-075-0005","AQS","17","10","4",".","39","43"
"01/10/2001","33","NO2","San Francisco","06-075-0005","AQS","15","28","9",".","25","33"
"01/11/2001","34","NO2","San Francisco","06-075-0005","AQS","9","23","3",".","19","34"
"01/12/2001","34","NO2","San Francisco","06-075-0005","AQS","13","19","7",".","27","34"
"01/13/2001","25","Ozone","San Francisco","06-075-0005","AQS","11","25","4",".","24","25"
"01/14/2001","34","NO2","San Francisco","06-075-0005","AQS","10","15","7",".","31","34"
"01/15/2001","39","NO2","San Francisco","06-075-0005","AQS","11","22","4",".","15","39"
"01/16/2001","39","NO2","San Francisco","06-075-0005","AQS","9","21","7",".","20","39"
"01/17/2001","40","NO2","San Francisco","06-075-0005","AQS","15","13","11",".","32","40"
"01/18/2001","79","PM2.5","San Francisco","06-075-0005","AQS","22","6","11",".","79","44"
"01/19/2001","111","PM2.5","San Francisco","06-075-0005","AQS","16","9","13","44","111","46"
"01/20/2001","158","PM2.5","San Francisco","06-075-0005","AQS","19","4","11",".","158","43"
"01/21/2001","162","PM2.5","San Francisco","06-075-0005","AQS","22","8","10",".","162","50"
"01/22/2001","111","PM2.5","San Francisco","06-075-0005","AQS","25","14","13",".","111","54"
"01/23/2001","42","NO2","San Francisco","06-075-0005","AQS","16","26","4",".","41","42"
"01/24/2001","45","NO2","San Francisco","06-075-0005","AQS","13","21","6",".","22","45"
"01/25/2001","42","NO2","San Francisco","06-075-0005","AQS","16","17","4","14","38","42"
"01/26/2001","37","NO2","San Francisco","06-075-0005","AQS","16","18","6",".","33","37"
"01/27/2001","38","NO2","San Francisco","06-075-0005","AQS","16","21","7",".","21","38"
"01/28/2001","52","PM2.5","San Francisco","06-075-0005","AQS","17","19","11",".","52","40"
"01/29/2001","36","NO2","San Francisco","06-075-0005","AQS","13","19","7",".","25","36"
"01/30/2001","39","PM2.5","San Francisco","06-075-0005","AQS","14","10","11",".","39","39"
"01/31/2001","47","NO2","San Francisco","06-075-0005","AQS","22","10","11","24",".","47"
"02/01/2001","88","PM2.5","San Francisco","06-075-0005","AQS","23","5","16",".","88","44"
"02/02/2001","117","PM2.5","San Francisco","06-075-0005","AQS","20","6","20",".","117","48"
"02/03/2001","76","PM2.5","San Francisco","06-075-0005","AQS","20","9","19",".","76","47"
"02/04/2001","42","NO2","San Francisco","06-075-0005","AQS","27","10","13",".",".","42"
"02/05/2001","34","NO2","San Francisco","06-075-0005","AQS","27","16","9",".",".","34"
"02/06/2001","38","PM2.5","San Francisco","06-075-0005","AQS","14","18","4","26","38","23"
"02/07/2001","42","NO2","San Francisco","06-075-0005","AQS","10",".","6",".","26","42"
"02/08/2001","54","NO2","San Francisco","06-075-0005","AQS","11","27","9",".","33","54"
"02/09/2001","31","Ozone","San Francisco","06-075-0005","AQS","13","31","4",".","18","28"
"02/10/2001","34","Ozone","San Francisco","06-075-0005","AQS","11","34","3",".","14","25"
"02/11/2001","34","Ozone","San Francisco","06-075-0005","AQS","10","34","3",".","12","24"
"02/12/2001","35","NO2","San Francisco","06-075-0005","AQS","11","23","4","7","17","35"
"02/13/2001","45","NO2","San Francisco","06-075-0005","AQS","17","19","6",".","23","45"
"02/14/2001","42","NO2","San Francisco","06-075-0005","AQS","18",".","6",".","38","42"
"02/15/2001","49","PM2.5","San Francisco","06-075-0005","AQS","17",".","7",".","49","42"
"02/16/2001","37","NO2","San Francisco","06-075-0005","AQS","13","26","6",".","33","37"
"02/17/2001","36","NO2","San Francisco","06-075-0005","AQS","13","27","6",".","25","36"
"02/18/2001","30","Ozone","San Francisco","06-075-0005","AQS","13","30","4","8","23","24"
"02/19/2001","37","Ozone","San Francisco","06-075-0005","AQS","10","37","4",".","18","19"
"02/20/2001","30","Ozone","San Francisco","06-075-0005","AQS","14","30","4",".","29","30"
"02/21/2001","37","NO2","San Francisco","06-075-0005","AQS","15","31","4",".","20","37"
"02/22/2001","30","Ozone","San Francisco","06-075-0005","AQS","13","30","4",".","10","22"
"02/23/2001","30","Ozone","San Francisco","06-075-0005","AQS","11","30","6",".","14","26"
"02/24/2001","32","Ozone","San Francisco","06-075-0005","AQS","11","32","4","17","26","14"
"02/25/2001","35","NO2","San Francisco","06-075-0005","AQS","10","31","6",".","23","35"
"02/26/2001","44","PM2.5","San Francisco","06-075-0005","AQS","19","10","11",".","44","41"
"02/27/2001","51","NO2","San Francisco","06-075-0005","AQS","22","19","9",".","46","51"
"02/28/2001","46","NO2","San Francisco","06-075-0005","AQS","14","30","6",".","34","46"
"03/01/2001","56","PM2.5","San Francisco","06-075-0005","AQS","16","26","7",".","56","45"
"03/02/2001","42","PM2.5","San Francisco","06-075-0005","AQS","14","24","4","19","42","41"
"03/03/2001","59","PM2.5","San Francisco","06-075-0005","AQS","14","35","7",".","59","38"
"03/04/2001","32","Ozone","San Francisco","06-075-0005","AQS","9","32","4",".","17","16"
"03/05/2001","39","NO2","San Francisco","06-075-0005","AQS","10","18","11",".","30","39"
"03/06/2001","45","NO2","San Francisco","06-075-0005","AQS","17","26","6",".","24","45"
"03/07/2001","45","PM2.5","San Francisco","06-075-0005","AQS","10",".",".",".","45","."
"03/08/2001","43","PM2.5","San Francisco","06-075-0005","AQS","10","33","4","22","43","22"
"03/09/2001","42","PM2.5","San Francisco","06-075-0005","AQS","10","24","9",".","42","34"
"03/10/2001","35","PM2.5","San Francisco","06-075-0005","AQS","10","28","4",".","35","32"
"03/11/2001","60","PM2.5","San Francisco","06-075-0005","AQS","13","21","6",".","60","40"
"03/12/2001","66","PM2.5","San Francisco","06-075-0005","AQS","16","28","7",".","66","40"
"03/13/2001","46","PM2.5","San Francisco","06-075-0005","AQS","14","30","6",".","46","23"
"03/14/2001","57","PM2.5","San Francisco","06-075-0005","AQS","15","25","9","35","57","35"
"03/15/2001","44","PM2.5","San Francisco","06-075-0005","AQS","13","27","6",".","44","29"
"03/16/2001","31","PM2.5","San Francisco","06-075-0005","AQS","13","31","4",".","31","28"
"03/17/2001","36","NO2","San Francisco","06-075-0005","AQS","13","27","13",".",".","36"
"03/18/2001","30","PM2.5","San Francisco","06-075-0005","AQS","16","16","11",".","30","30"
"03/19/2001","55","PM2.5","San Francisco","06-075-0005","AQS","20","19","13",".","55","41"
"03/20/2001","42","NO2","San Francisco","06-075-0005","AQS","24","29","7","33",".","42"
"03/21/2001","37","PM2.5","San Francisco","06-075-0005","AQS","11","31","6",".","37","24"
"03/22/2001","27","Ozone","San Francisco","06-075-0005","AQS","10","27","4",".","21","20"
"03/23/2001","27","Ozone","San Francisco","06-075-0005","AQS","11","27","4",".","22","21"
"03/24/2001","22","Ozone","San Francisco","06-075-0005","AQS","10","22","10",".","18","15"
"03/25/2001","38","Ozone","San Francisco","06-075-0005","AQS","8","38","6",".","33","21"
"03/26/2001","46","PM2.5","San Francisco","06-075-0005","AQS","10","28","6","28","46","41"
"03/27/2001","51","PM2.5","San Francisco","06-075-0005","AQS","13","30","7",".","51","36"
"03/28/2001","29","Ozone","San Francisco","06-075-0005","AQS","9","29","4",".",".","16"
"03/29/2001","28","NO2","San Francisco","06-075-0005","AQS","14","16","6",".",".","28"
"03/30/2001","63","PM2.5","San Francisco","06-075-0005","AQS","18","15","16",".","63","42"
"03/31/2001","52","PM2.5","San Francisco","06-075-0005","AQS","18","23","7",".","52","35"
"04/01/2001","44","Ozone","San Francisco","06-075-0005","AQS","9","44","4","21","32","8"
"04/02/2001","35","Ozone","San Francisco","06-075-0005","AQS","8","35","4",".",".","31"
"04/03/2001","41","NO2","San Francisco","06-075-0005","AQS","9","35","4",".",".","41"
"04/04/2001","42","NO2","San Francisco","06-075-0005","AQS","10","29","7",".",".","42"
"04/05/2001","36","Ozone","San Francisco","06-075-0005","AQS","11","36","4",".",".","29"
"04/06/2001","35","Ozone","San Francisco","06-075-0005","AQS","15","35","4",".",".","30"
"04/07/2001","38","Ozone","San Francisco","06-075-0005","AQS","13","38","4","12","20","25"
"04/08/2001","41","Ozone","San Francisco","06-075-0005","AQS","9","41","4",".",".","21"
"04/09/2001","31","Ozone","San Francisco","06-075-0005","AQS","10","31","6",".",".","28"
"04/10/2001","44","Ozone","San Francisco","06-075-0005","AQS","9","44","6",".",".","39"
"04/11/2001","38","Ozone","San Francisco","06-075-0005","AQS","13","38","4",".",".","38"
"04/12/2001","39","NO2","San Francisco","06-075-0005","AQS","14","34","4",".",".","39"
"04/13/2001","42","NO2","San Francisco","06-075-0005","AQS","11","39","3","20","33","42"
"04/14/2001","40","Ozone","San Francisco","06-075-0005","AQS","11","40","6",".",".","30"
"04/15/2001","43","Ozone","San Francisco","06-075-0005","AQS","9","43","4",".",".","31"
"04/16/2001","46","NO2","San Francisco","06-075-0005","AQS","13","32","3",".",".","46"
"04/17/2001","32","NO2","San Francisco","06-075-0005","AQS","11","31","7",".",".","32"
"04/18/2001","40","NO2","San Francisco","06-075-0005","AQS","14","33","4",".",".","40"
"04/19/2001","34","Ozone","San Francisco","06-075-0005","AQS","11","34","1","19","32","23"
"04/20/2001","39","NO2","San Francisco","06-075-0005","AQS","15","31","3",".",".","39"
"04/21/2001","34","NO2","San Francisco","06-075-0005","AQS","11","31","1",".",".","34"
"04/22/2001","34","Ozone","San Francisco","06-075-0005","AQS","11","34","3",".",".","16"
"04/23/2001","39","NO2","San Francisco","06-075-0005","AQS","13","25","3",".",".","39"
"04/24/2001","49","NO2","San Francisco","06-075-0005","AQS","18","19","34",".",".","49"
"04/25/2001","37","NO2","San Francisco","06-075-0005","AQS","17","22","6","14","33","37"
"04/26/2001","23","Ozone","San Francisco","06-075-0005","AQS","13","23","3",".",".","15"
"04/27/2001","26","Ozone","San Francisco","06-075-0005","AQS","14","26","1",".",".","17"
"04/28/2001","39","Ozone","San Francisco","06-075-0005","AQS","11","39","3",".",".","17"
"04/29/2001","36","Ozone","San Francisco","06-075-0005","AQS","10","36","11",".",".","30"
"04/30/2001","25","Ozone","San Francisco","06-075-0005","AQS","13","25","3",".",".","21"
"05/01/2001","56","PM2.5","San Francisco","06-075-0005","AQS","11","27","11","31","56","33"
"05/02/2001","37","Ozone","San Francisco","06-075-0005","AQS","10","37","6",".",".","36"
"05/03/2001","44","NO2","San Francisco","06-075-0005","AQS","11","37","4",".",".","44"
"05/04/2001","51","NO2","San Francisco","06-075-0005","AQS","15","35","33",".",".","51"
"05/05/2001","31","Ozone","San Francisco","06-075-0005","AQS","10","31","20",".",".","26"
"05/06/2001","37","NO2","San Francisco","06-075-0005","AQS","11","34","10",".",".","37"
"05/07/2001","67","PM2.5","San Francisco","06-075-0005","AQS","18","35","20","51","67","58"
"05/08/2001","56","NO2","San Francisco","06-075-0005","AQS","22","27","7",".",".","56"
"05/09/2001","47","PM10","San Francisco","06-075-0005","AQS","16","35","7","47",".","42"
"05/10/2001","41","NO2","San Francisco","06-075-0005","AQS","17","34","9",".",".","41"
"05/11/2001","38","Ozone","San Francisco","06-075-0005","AQS","15","38","3",".",".","25"
"05/12/2001","40","Ozone","San Francisco","06-075-0005","AQS","14","40","3",".",".","13"
"05/13/2001","38","Ozone","San Francisco","06-075-0005","AQS","13","38","1","12","28","8"
"05/14/2001","31","Ozone","San Francisco","06-075-0005","AQS","13","31","3",".",".","17"
"05/15/2001","26","NO2","San Francisco","06-075-0005","AQS","14","20","1",".",".","26"
"05/16/2001","32","Ozone","San Francisco","06-075-0005","AQS","15","32","3",".",".","28"
"05/17/2001","28","Ozone","San Francisco","06-075-0005","AQS","15","28","1",".",".","18"
"05/18/2001","38","NO2","San Francisco","06-075-0005","AQS","14","25","3",".",".","38"
"05/19/2001","65","PM2.5","San Francisco","06-075-0005","AQS","9","30","1","34","65","18"
"05/20/2001","31","Ozone","San Francisco","06-075-0005","AQS","9","31","21",".",".","28"
"05/21/2001","39","NO2","San Francisco","06-075-0005","AQS","14","30","4",".",".","39"
"05/22/2001","28","Ozone","San Francisco","06-075-0005","AQS","11","28","3",".",".","19"
"05/23/2001","25","Ozone","San Francisco","06-075-0005","AQS","10","25","1",".",".","18"
"05/24/2001","24","Ozone","San Francisco","06-075-0005","AQS","10","24","3",".",".","24"
"05/25/2001","31","Ozone","San Francisco","06-075-0005","AQS","10","31","3","10","23","18"
"05/26/2001","36","Ozone","San Francisco","06-075-0005","AQS","9","36","3",".",".","11"
"05/27/2001","38","Ozone","San Francisco","06-075-0005","AQS","8","38","1",".",".","8"
"05/28/2001","33","Ozone","San Francisco","06-075-0005","AQS","7","33","3",".",".","23"
"05/29/2001","42","NO2","San Francisco","06-075-0005","AQS","13","27","4",".",".","42"
"05/30/2001","52","NO2","San Francisco","06-075-0005","AQS","19","44","7",".",".","52"
"05/31/2001","64","PM2.5","San Francisco","06-075-0005","AQS","15","39","4","38","64","45"
"06/01/2001","29","Ozone","San Francisco","06-075-0005","AQS","9","29","1",".",".","21"
"06/02/2001","28","Ozone","San Francisco","06-075-0005","AQS","8","28","1",".",".","17"
"06/03/2001","30","Ozone","San Francisco","06-075-0005","AQS","9","30","4",".",".","25"
"06/04/2001","29","NO2","San Francisco","06-075-0005","AQS","11","25","1",".",".","29"
"06/05/2001","27","NO2","San Francisco","06-075-0005","AQS","9","25","3",".",".","27"
"06/06/2001","39","PM2.5","San Francisco","06-075-0005","AQS","11","26","4","21","39","29"
"06/07/2001","38","NO2","San Francisco","06-075-0005","AQS","15","19","9",".",".","38"
"06/08/2001","23","Ozone","San Francisco","06-075-0005","AQS","9","23","1",".",".","19"
"06/09/2001","31","Ozone","San Francisco","06-075-0005","AQS","8","31","3",".",".","10"
"06/10/2001","30","Ozone","San Francisco","06-075-0005","AQS","8","30","3",".",".","13"
"06/11/2001","21","Ozone","San Francisco","06-075-0005","AQS","8","21","3",".",".","12"
"06/12/2001","31","PM2.5","San Francisco","06-075-0005","AQS","10","22","3","19","31","23"
"06/13/2001","42","NO2","San Francisco","06-075-0005","AQS","13","23","13",".",".","42"
"06/14/2001","42","NO2","San Francisco","06-075-0005","AQS","18","20",".",".",".","42"
"06/15/2001","29","NO2","San Francisco","06-075-0005","AQS","10","21","3",".",".","29"
"06/16/2001","32","Ozone","San Francisco","06-075-0005","AQS","10","32","4",".",".","24"
"06/17/2001","27","Ozone","San Francisco","06-075-0005","AQS","9","27","3",".",".","24"
"06/18/2001","67","PM2.5","San Francisco","06-075-0005","AQS","17","19","36","51","67","50"
"06/19/2001","48","NO2","San Francisco","06-075-0005","AQS","14","28","9",".",".","48"
"06/20/2001","71","NO2","San Francisco","06-075-0005","AQS","18","30","9",".",".","71"
"06/21/2001","40","NO2","San Francisco","06-075-0005","AQS","13","24","3",".",".","40"
"06/22/2001","22","NO2","San Francisco","06-075-0005","AQS","11","21","3",".",".","22"
"06/23/2001","23","Ozone","San Francisco","06-075-0005","AQS","11","23","3",".",".","8"
"06/24/2001","30","PM2.5","San Francisco","06-075-0005","AQS","10","26","1","17","30","8"
"06/25/2001","23","NO2","San Francisco","06-075-0005","AQS","14","20","3",".",".","23"
"06/26/2001","25","NO2","San Francisco","06-075-0005","AQS","13","20","3",".",".","25"
"06/27/2001","17","NO2","San Francisco","06-075-0005","AQS","13","15","3",".",".","17"
"06/28/2001","19","Ozone","San Francisco","06-075-0005","AQS","10","19","3",".",".","17"
"06/29/2001","26","NO2","San Francisco","06-075-0005","AQS","10","19","3",".",".","26"
