"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2012","74","PM2.5","San Rafael","06-041-0001","AQS","11","30","14",".","74","38"
"01/02/2012","79","PM2.5","Redwood City","06-081-1001","AQS","16","27","14",".","79","39"
"01/03/2012","79","PM2.5","Oakland","06-001-0009","AQS","20","26","10",".","79","39"
"01/04/2012","91","SO2","Oakland West","06-001-0011","AQS","27","22","91","21","74","43"
"01/05/2012","55","PM2.5","San Francisco","06-075-0005","AQS","16","23","10",".","55","34"
"01/06/2012","63","PM2.5","San Francisco","06-075-0005","AQS","13","20","7",".","63","30"
"01/07/2012","44","PM2.5","Redwood City","06-081-1001","AQS","20","33","7",".","44","42"
"01/08/2012","39","NO2","San Francisco","06-075-0005","AQS","9","31","7",".","30","39"
"01/09/2012","92","PM2.5","Oakland","06-001-0009","AQS","19","27","9",".","92","52"
"01/10/2012","101","PM2.5","San Francisco","06-075-0005","AQS","26","31","7","44","101","50"
"01/11/2012","74","PM2.5","Redwood City","06-081-1001","AQS","19","26","23",".","74","46"
"01/12/2012","55","PM2.5","Redwood City","06-081-1001","AQS","20","26","9",".","55","49"
"01/13/2012","81","PM2.5","Livermore","06-001-0007","AQS","17","29","9",".","81","51"
"01/14/2012","92","PM2.5","Oakland","06-001-0009","AQS","27","26","14",".","92","42"
"01/15/2012","52","PM2.5","Oakland","06-001-0009","AQS","16","33","7",".","52","32"
"01/16/2012","35","NO2","San Rafael","06-041-0001","AQS","8","31","10","10","33","35"
"01/17/2012","43","NO2","San Rafael","06-041-0001","AQS","14","27","6",".","41","43"
"01/18/2012","46","PM2.5","San Rafael","06-041-0001","AQS","15","30","6",".","46","41"
"01/19/2012","52","PM2.5","San Francisco","06-075-0005","AQS","20","26","7",".","52","41"
"01/20/2012","68","PM2.5","Concord","06-013-0002","AQS","7","31","6",".","68","27"
"01/21/2012","38","PM2.5","Oakland","06-001-0009","AQS","7","35","6",".","38","31"
"01/22/2012","34","PM2.5","Oakland","06-001-0009","AQS","7","30","11","13","34","25"
"01/23/2012","31","NO2","Oakland West","06-001-0011","AQS","7","30","6",".","29","31"
"01/24/2012","51","PM2.5","Oakland","06-001-0009","AQS","9","18","7",".","51","50"
"01/25/2012","57","PM2.5","Livermore","06-001-0007","AQS","10","20","16",".","57","34"
"01/26/2012","43","PM2.5","Oakland","06-001-0009","AQS","9","17","6",".","43","26"
"01/27/2012","46","NO2","San Francisco","06-075-0005","AQS","13","32","13",".","45","46"
"01/28/2012","69","NO2","San Francisco","06-075-0005","AQS","19","28","7","13","39","69"
"01/29/2012","77","PM2.5","Oakland","06-001-0009","AQS","15","28","7",".","77","48"
"01/30/2012","58","NO2","San Francisco","06-075-0005","AQS","15","29","16",".","54","58"
"01/31/2012","40","PM2.5","San Rafael","06-041-0001","AQS","7","26","9",".","40","38"
"02/01/2012","53","NO2","San Francisco","06-075-0005","AQS","10","28","6",".","44","53"
"02/02/2012","39","PM2.5","Oakland","06-001-0009","AQS","16","31","9",".","39","38"
"02/03/2012","63","PM2.5","Livermore","06-001-0007","AQS","16","29","7","19","63","47"
"02/04/2012","77","PM2.5","Livermore","06-001-0007","AQS","13","31","7",".","77","62"
"02/05/2012","55","PM2.5","San Francisco","06-075-0005","AQS","15","34","6",".","55","47"
"02/06/2012","105","NO2","San Francisco","06-075-0005","AQS","15","32","10",".","59","105"
"02/07/2012","56","PM2.5","Concord","06-013-0002","AQS","8","31","7",".","56","33"
"02/08/2012","62","PM2.5","San Francisco","06-075-0005","AQS","10","33","9",".","62","40"
"02/09/2012","55","PM2.5","San Francisco","06-075-0005","AQS","14","29","7","16","55","44"
"02/10/2012","53","PM2.5","San Francisco","06-075-0005","AQS","11","31","9",".","53","45"
"02/11/2012","31","Ozone","Bethel Island","06-013-1002","AQS","5","31","7",".","23","20"
"02/12/2012","35","PM2.5","San Francisco","06-075-0005","AQS","6","35","7",".","35","18"
"02/13/2012","42","PM2.5","San Francisco","06-075-0005","AQS","7","35","7",".","42","29"
"02/14/2012","46","PM2.5","San Francisco","06-075-0005","AQS","9","34","7",".","46","34"
"02/15/2012","35","Ozone","Bethel Island","06-013-1002","AQS","7","35","7","8","24","33"
"02/16/2012","39","NO2","San Rafael","06-041-0001","AQS","8","35","7",".","30","39"
"02/17/2012","46","NO2","San Francisco","06-075-0005","AQS","10","26","7",".","40","46"
"02/18/2012","36","PM2.5","San Rafael","06-041-0001","AQS","6","31","7",".","36","25"
"02/19/2012","33","PM2.5","San Francisco","06-075-0005","AQS","6","32","6",".","33","24"
"02/20/2012","39","PM2.5","San Francisco","06-075-0005","AQS","7","33","9",".","39","30"
"02/21/2012","58","PM2.5","Oakland","06-001-0009","AQS","13","28","7","18","58","31"
"02/22/2012","55","PM2.5","Oakland","06-001-0009","AQS","17","27","16",".","55","40"
"02/23/2012","43","PM2.5","Oakland","06-001-0009","AQS","9","43","6",".","43","35"
"02/24/2012","50","NO2","Oakland West","06-001-0011","AQS","10","33","11",".","45","50"
"02/25/2012","37","PM2.5","San Rafael","06-041-0001","AQS","6","35","9",".","37","27"
"02/26/2012","38","Ozone","Bethel Island","06-013-1002","AQS","6","38","9",".","33","25"
"02/27/2012","36","Ozone","Bethel Island","06-013-1002","AQS","10","36","10","18","33","36"
"02/28/2012","39","Ozone","Bethel Island","06-013-1002","AQS","8","39","6",".","26","33"
"02/29/2012","38","Ozone","San Pablo","06-013-1004","AQS",".","38","9",".","25","25"
"03/01/2012","39","NO2","San Francisco","06-075-0005","AQS","6","37","6",".","32","39"
"03/02/2012","72","NO2","San Francisco","06-075-0005","AQS","9","38","7",".","33","72"
"03/03/2012","45","PM2.5","San Francisco","06-075-0005","AQS","18","37","7",".","45","42"
"03/04/2012","47","PM2.5","Oakland","06-001-0009","AQS","10","44","9","13","47","42"
"03/05/2012","42","PM2.5","Oakland","06-001-0009","AQS","9","31","6",".","42","37"
"03/06/2012","41","Ozone","Bethel Island","06-013-1002","AQS","5","41","6",".","21","16"
"03/07/2012","43","NO2","San Francisco","06-075-0005","AQS","8","41","20",".","22","43"
"03/08/2012","54","NO2","San Francisco","06-075-0005","AQS","13","39","21",".","45","54"
"03/09/2012","56","PM2.5","Oakland","06-001-0009","AQS","10","54","9",".","56","37"
"03/10/2012","38","Ozone","Bethel Island","06-013-1002","AQS","7","38","14","10","28","33"
"03/11/2012","40","Ozone","Bethel Island","06-013-1002","AQS","6","40","14",".","30","30"
"03/12/2012","43","PM2.5","San Francisco","06-075-0005","AQS","9","41","9",".","43","38"
"03/13/2012","36","Ozone","San Rafael","06-041-0001","AQS","6","36","7",".","17","16"
"03/14/2012","31","Ozone","San Rafael","06-041-0001","AQS","6","31","9",".","15","20"
"03/15/2012","35","NO2","San Francisco","06-075-0005","AQS","7","30","10",".","15","35"
"03/16/2012","38","Ozone","San Pablo","06-013-1004","AQS","5","38","9","6","18","22"
"03/17/2012","43","Ozone","San Pablo","06-013-1004","AQS","7","43","7",".","24","32"
"03/18/2012","40","Ozone","Bethel Island","06-013-1002","AQS","3","40","6",".","26","8"
"03/19/2012","38","Ozone","Bethel Island","06-013-1002","AQS","8","38","7",".","32","37"
"03/20/2012","43","Ozone","Bethel Island","06-013-1002","AQS","6","43","27",".","35","38"
"03/21/2012","40","PM2.5","Oakland","06-001-0009","AQS","10","38","20",".","40","32"
"03/22/2012","41","Ozone","Bethel Island","06-013-1002","AQS","6","41","7","11","21","31"
"03/23/2012","52","NO2","San Francisco","06-075-0005","AQS","7","41","14",".","21","52"
"03/24/2012","42","Ozone","Bethel Island","06-013-1002","AQS","6","42","3",".","14","21"
"03/25/2012","42","Ozone","San Pablo","06-013-1004","AQS","6","42","4",".","18","22"
"03/26/2012","40","Ozone","Livermore","06-001-0007","AQS","8","40","10",".","20","34"
"03/27/2012","40","Ozone","San Rafael","06-041-0001","AQS","7","40","10",".","20","29"
"03/28/2012","45","Ozone","Bethel Island","06-013-1002","AQS","7","45","10","18","42","31"
"03/29/2012","55","PM2.5","Oakland","06-001-0009","AQS","8","36","6",".","55","34"
"03/30/2012","40","PM2.5","San Francisco","06-075-0005","AQS","7","37","9",".","40","25"
"03/31/2012","44","Ozone","Concord","06-013-0002","AQS","5","44","9",".","34","14"
"04/01/2012","45","PM2.5","Oakland","06-001-0009","AQS","6","42","6",".","45","22"
"04/02/2012","40","Ozone","Bethel Island","06-013-1002","AQS","8","40","4",".","38","34"
"04/03/2012","43","Ozone","San Pablo","06-013-1004","AQS","6","43","10","15","35","37"
"04/04/2012","42","Ozone","Bethel Island","06-013-1002","AQS","6","42","6",".","28","35"
"04/05/2012","42","Ozone","Bethel Island","06-013-1002","AQS","6","42","4",".","26","39"
"04/06/2012","41","NO2","San Francisco","06-075-0005","AQS","7","40","14",".","29","41"
"04/07/2012","44","Ozone","Livermore","06-001-0007","AQS","7","44","16",".","40","42"
"04/08/2012","50","Ozone","Bethel Island","06-013-1002","AQS","6","50","21",".","40","31"
"04/09/2012","71","Ozone","Bethel Island","06-013-1002","AQS","8","71","7","30","41","42"
"04/10/2012","35","Ozone","Hayward","06-001-2001","AQS","7","35","6",".","27","25"
"04/11/2012","39","Ozone","San Pablo","06-013-1004","AQS","7","39","7",".","22","30"
"04/12/2012","47","Ozone","Livermore","06-001-0007","AQS","5","47","9",".","34","35"
"04/13/2012","46","Ozone","Hayward","06-001-2001","AQS","5","46","6",".","21","28"
"04/14/2012","42","Ozone","Livermore","06-001-0007","AQS","5","42","6",".","30","15"
"04/15/2012","42","Ozone","Bethel Island","06-013-1002","AQS","6","42","11","17","40","15"
"04/16/2012","44","Ozone","Concord","06-013-0002","AQS","7","44","6",".","29","27"
"04/17/2012","35","Ozone","Concord","06-013-0002","AQS","5","35","7",".","33","17"
"04/18/2012","41","Ozone","Bethel Island","06-013-1002","AQS","5","41","7",".","30","29"
"04/19/2012","34","Ozone","Bethel Island","06-013-1002","AQS","6","34","7",".","33","24"
"04/20/2012","37","PM2.5","Oakland West","06-001-0011","AQS","8","36","9",".","37","26"
"04/21/2012","52","PM2.5","Oakland","06-001-0009","AQS","8","47","14","21","52","25"
"04/22/2012","64","Ozone","Livermore","06-001-0007","AQS","7","64","9",".","31","24"
"04/23/2012","33","Ozone","Livermore","06-001-0007","AQS","6","33","10",".","18","14"
"04/24/2012","30","Ozone","Bethel Island","06-013-1002","AQS","6","30","10",".","22","20"
"04/25/2012","24","Ozone","Livermore","06-001-0007","AQS","5","24","11",".","20","23"
"04/26/2012","44","Ozone","Hayward","06-001-2001","AQS","5","44","11",".","21","14"
"04/27/2012","42","Ozone","Bethel Island","06-013-1002","AQS","6","42","9","17","33","31"
"04/28/2012","48","PM2.5","San Francisco","06-075-0005","AQS","7","40","9",".","48","29"
"04/29/2012","53","PM2.5","San Francisco","06-075-0005","AQS","6","44","9",".","53","21"
"04/30/2012","45","PM2.5","Oakland","06-001-0009","AQS","5","38","7",".","45","28"
"05/01/2012","44","Ozone","Bethel Island","06-013-1002","AQS","5","44","9",".","39","31"
"05/02/2012","50","Ozone","Bethel Island","06-013-1002","AQS","6","50","10",".","37","23"
"05/03/2012","42","Ozone","Concord","06-013-0002","AQS","5","42","7","6","18","18"
"05/04/2012","44","Ozone","Bethel Island","06-013-1002","AQS","5","44","7",".","32","22"
"05/05/2012","54","PM2.5","San Francisco","06-075-0005","AQS","6","54","14",".","54","30"
"05/06/2012","58","PM2.5","Oakland","06-001-0009","AQS","7","58","23",".","58","30"
"05/07/2012","68","PM2.5","San Francisco","06-075-0005","AQS","7","61","13",".","68","35"
"05/08/2012","100","Ozone","Concord","06-013-0002","AQS","7","100","17",".","70","35"
"05/09/2012","71","PM2.5","Oakland","06-001-0009","AQS","6","67","7","42","71","35"
"05/10/2012","69","PM2.5","San Francisco","06-075-0005","AQS","7","64","17",".","69","38"
"05/11/2012","77","Ozone","Livermore","06-001-0007","AQS","8","77","7",".","68","38"
"05/12/2012","64","Ozone","Livermore","06-001-0007","AQS","6","64","6",".","54","37"
"05/13/2012","54","PM2.5","Oakland","06-001-0009","AQS","5","42","9",".","54","13"
"05/14/2012","47","PM2.5","Oakland","06-001-0009","AQS","5","44","16",".","47","28"
"05/15/2012","40","PM2.5","Oakland","06-001-0009","AQS","6","37","6","16","40","18"
"05/16/2012","52","PM2.5","Oakland","06-001-0009","AQS","5","40","6",".","52","19"
"05/17/2012","65","PM2.5","San Francisco","06-075-0005","AQS","5","43","6",".","65","20"
"05/18/2012","66","PM2.5","San Francisco","06-075-0005","AQS","5","50","6",".","66","23"
"05/19/2012","64","Ozone","Bethel Island","06-013-1002","AQS","5","64","9",".","62","24"
"05/20/2012","58","Ozone","Bethel Island","06-013-1002","AQS","5","58","6",".","46","22"
"05/21/2012","35","Ozone","Bethel Island","06-013-1002","AQS","5","35","9","10","22","17"
"05/22/2012","44","Ozone","Bethel Island","06-013-1002","AQS","5","44","4",".","35","22"
"05/23/2012","46","Ozone","Bethel Island","06-013-1002","AQS","5","46","7",".","45","26"
"05/24/2012","48","Ozone","Bethel Island","06-013-1002","AQS","5","48","7",".","46","30"
"05/25/2012","42","PM2.5","San Francisco","06-075-0005","AQS","5","41","4",".","42","20"
"05/26/2012","45","PM2.5","San Francisco","06-075-0005","AQS","5","36","6",".","45","16"
"05/27/2012","38","Ozone","Bethel Island","06-013-1002","AQS","5","38","10","13","32","9"
"05/28/2012","43","Ozone","Bethel Island","06-013-1002","AQS","5","43","4",".","24","13"
"05/29/2012","46","Ozone","Bethel Island","06-013-1002","AQS","5","46","4",".","41","17"
"05/30/2012","51","Ozone","Bethel Island","06-013-1002","AQS","6","51","6",".","44","19"
"05/31/2012","100","Ozone","Livermore","06-001-0007","AQS","6","100","7",".","48","24"
"06/01/2012","50","Ozone","Bethel Island","06-013-1002","AQS","6","50","3",".","33","23"
"06/02/2012","36","Ozone","Bethel Island","06-013-1002","AQS","5","36","3","8","12","11"
"06/03/2012","48","Ozone","Livermore","06-001-0007","AQS","5","48","3",".","19","14"
"06/04/2012","35","Ozone","Bethel Island","06-013-1002","AQS","6","35","9",".","18","20"
"06/05/2012","38","Ozone","Bethel Island","06-013-1002","AQS","5","38","4",".","31","17"
"06/06/2012","39","Ozone","Bethel Island","06-013-1002","AQS","6","39","7",".","38","21"
"06/07/2012","40","Ozone","Bethel Island","06-013-1002","AQS","5","40","4",".","33","16"
"06/08/2012","44","Ozone","Bethel Island","06-013-1002","AQS","6","44","6","19","38","25"
"06/09/2012","43","Ozone","Livermore","06-001-0007","AQS","5","43","7",".","35","26"
"06/10/2012","44","Ozone","Bethel Island","06-013-1002","AQS","6","44","13",".","28","31"
"06/11/2012","64","Ozone","Livermore","06-001-0007","AQS","9","64","6",".","61","36"
"06/12/2012","47","PM2.5","Oakland","06-001-0009","AQS","6","45","4",".","47","21"
"06/13/2012","48","PM2.5","San Francisco","06-075-0005","AQS","5","44","21",".","48","13"
"06/14/2012","72","PM2.5","San Francisco","06-075-0005","AQS","5","46","6","43","72","20"
"06/15/2012","67","PM2.5","San Francisco","06-075-0005","AQS","6","61","10",".","67","23"
"06/16/2012","65","PM2.5","San Francisco","06-075-0005","AQS","7","58","6",".","65","29"
"06/17/2012","64","Ozone","Livermore","06-001-0007","AQS","6","64","6",".","43","28"
"06/18/2012","38","Ozone","Bethel Island","06-013-1002","AQS","5","38","3",".","37","17"
"06/19/2012","60","PM2.5","San Francisco","06-075-0005","AQS","6","49","13",".","60","25"
"06/20/2012","74","Ozone","Bethel Island","06-013-1002","AQS","6","74","10","34","64","30"
"06/21/2012","37","PM2.5","San Francisco","06-075-0005","AQS","3","34","10",".","37","9"
"06/22/2012","26","Ozone","San Pablo","06-013-1004","AQS","3","26","4",".","20","11"
"06/23/2012","35","Ozone","Bethel Island","06-013-1002","AQS","3","35","4",".","18","14"
"06/24/2012","37","Ozone","Bethel Island","06-013-1002","AQS","3","37","7",".","20","11"
"06/25/2012","34","Ozone","Bethel Island","06-013-1002","AQS","5","34","6",".","24","21"
"06/26/2012","41","Ozone","Bethel Island","06-013-1002","AQS","5","41","7","10","22","25"
"06/27/2012","49","Ozone","Bethel Island","06-013-1002","AQS","6","49","9",".","34","23"
"06/28/2012","29","Ozone","Bethel Island","06-013-1002","AQS","5","29","6",".","23","20"
"06/29/2012","30","Ozone","Bethel Island","06-013-1002","AQS","5","30","1",".","17","8"
"06/30/2012","21","Ozone","Bethel Island","06-013-1002","AQS","5","21","3",".","14","10"
"07/01/2012","25","PM2.5","San Francisco","06-075-0005","AQS","5","24","13",".","25","8"
"07/02/2012","48","PM2.5","San Francisco","06-075-0005","AQS","5","35","4","24","48","16"
"07/03/2012","52","PM2.5","San Francisco","06-075-0005","AQS","5","51","11",".","52","15"
"07/04/2012","62","PM2.5","Oakland","06-001-0009","AQS","5","45","6",".","62","17"
"07/05/2012","39","PM2.5","San Rafael","06-041-0001","AQS","5","37","1",".","39","13"
"07/06/2012","44","Ozone","Bethel Island","06-013-1002","AQS","5","44","3",".","35","24"
"07/07/2012","64","Ozone","Livermore","06-001-0007","AQS","6","64","7",".","40","26"
"07/08/2012","44","Ozone","Bethel Island","06-013-1002","AQS","5","44","4","8","22","10"
"07/09/2012","47","Ozone","Bethel Island","06-013-1002","AQS","5","47","9",".","34","17"
"07/10/2012","136","Ozone","Livermore","06-001-0007","AQS","6","136","10",".","65","26"
"07/11/2012","161","Ozone","Livermore","06-001-0007","AQS","7","161","7",".","55","35"
"07/12/2012","77","Ozone","Bethel Island","06-013-1002","AQS","6","77","7",".","56","30"
"07/13/2012","40","PM2.5","Livermore","06-001-0007","AQS","6","32","1",".","40","10"
"07/14/2012","39","Ozone","Bethel Island","06-013-1002","AQS","5","39","3","11","28","8"
"07/15/2012","41","Ozone","Livermore","06-001-0007","AQS","5","41","4",".","27","11"
"07/16/2012","31","Ozone","Bethel Island","06-013-1002","AQS","5","31","4",".","13","13"
"07/17/2012","34","Ozone","Livermore","06-001-0007","AQS","5","34","7",".","15","15"
"07/18/2012","39","Ozone","Bethel Island","06-013-1002","AQS","5","39","7",".","20","16"
"07/19/2012","37","Ozone","Bethel Island","06-013-1002","AQS","5","37","3",".","20","16"
