"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2014","109","PM2.5","Oakland West","06-001-0011","AQS","30","28","11",".","109","51"
"01/02/2014","80","PM2.5","Oakland West","06-001-0011","AQS","24","33","16",".","80","52"
"01/03/2014","80","PM2.5","Oakland West","06-001-0011","AQS","22","25","14",".","80","50"
"01/04/2014","67","PM2.5","Oakland West","06-001-0011","AQS","25","25","6",".","67","44"
"01/05/2014","56","PM2.5","Livermore","06-001-0007","AQS","28","33","9","15","56","43"
"01/06/2014","92","PM2.5","Livermore","06-001-0007","AQS","19","25","6",".","92","57"
"01/07/2014","95","PM2.5","Livermore","06-001-0007","AQS","17","23","7",".","95","50"
"01/08/2014","42","PM2.5","San Pablo","06-013-1004","AQS","13","25","4",".","42","38"
"01/09/2014","54","PM2.5","San Pablo","06-013-1004","AQS","7","31","6",".","54","32"
"01/10/2014","52","PM2.5","Livermore","06-001-0007","AQS","11","28","9",".","52","37"
"01/11/2014","60","PM2.5","Livermore","06-001-0007","AQS","13","27","3","21","60","34"
"01/12/2014","50","PM2.5","San Pablo","06-013-1004","AQS","9","31","3",".","50","32"
"01/13/2014","47","PM2.5","San Pablo","06-013-1004","AQS","14","31","4",".","47","41"
"01/14/2014","57","PM2.5","San Pablo","06-013-1004","AQS","13","32","16",".","57","45"
"01/15/2014","66","PM2.5","San Rafael","06-041-0001","AQS","15","33","14",".","66","51"
"01/16/2014","72","PM2.5","Oakland West","06-001-0011","AQS","17","32","9",".","72","58"
"01/17/2014","100","PM2.5","Oakland West","06-001-0011","AQS","19","37","6","41","100","60"
"01/18/2014","75","PM2.5","Oakland West","06-001-0011","AQS","24","31","6",".","75","49"
"01/19/2014","83","PM2.5","Oakland West","06-001-0011","AQS","24","39","7",".","83","57"
"01/20/2014","79","PM2.5","Oakland West","06-001-0011","AQS","24","30","6",".","79","52"
"01/21/2014","65","PM2.5","Oakland West","06-001-0011","AQS","28","30","7",".","65","56"
"01/22/2014","63","PM2.5","San Pablo","06-013-1004","AQS","16","25","11",".","63","50"
"01/23/2014","103","PM2.5","Livermore","06-001-0007","AQS","15","44","13","52","103","55"
"01/24/2014","119","PM2.5","Livermore","06-001-0007","AQS","16","28","6",".","119","60"
"01/25/2014","79","PM2.5","Oakland West","06-001-0011","AQS","17","32","7",".","79","50"
"01/26/2014","63","PM2.5","Oakland West","06-001-0011","AQS","22","29","9",".","63","41"
"01/27/2014","59","PM2.5","Livermore","06-001-0007","AQS","7","25","4",".","59","33"
"01/28/2014","52","PM2.5","San Pablo","06-013-1004","AQS","8","25","4",".","52","27"
"01/29/2014","38","PM2.5","San Pablo","06-013-1004","AQS","8","24","10","8","38","31"
"01/30/2014","46","PM2.5","San Rafael","06-041-0001","AQS","7","33","7",".","46","27"
"01/31/2014","50","PM2.5","San Pablo","06-013-1004","AQS","9","31","6",".","50","46"
"02/01/2014","48","NO2","Laney College","06-001-0012","AQS","8","31","9",".","47","48"
"02/02/2014","45","PM2.5","San Pablo","06-013-1004","AQS","10","31","6",".","45","26"
"02/03/2014","48","PM2.5","San Pablo","06-013-1004","AQS","11","31","6",".","48","39"
"02/04/2014","43","PM2.5","San Pablo","06-013-1004","AQS","10","27","7","15","43","36"
"02/05/2014","43","PM2.5","San Pablo","06-013-1004","AQS","10","31","4",".","43","30"
"02/06/2014","61","PM2.5","San Rafael","06-041-0001","AQS","8","27","1",".","61","32"
"02/07/2014","49","PM2.5","San Pablo","06-013-1004","AQS","9","35","4",".","49","33"
"02/08/2014","31","Ozone","Concord","06-013-0002","AQS","6","31","1",".","30","10"
"02/09/2014","39","PM2.5","San Pablo","06-013-1004","AQS","6","31","0",".","39","11"
"02/10/2014","38","PM2.5","San Pablo","06-013-1004","AQS","9","24","3","7","38","31"
"02/11/2014","54","PM2.5","San Pablo","06-013-1004","AQS","9","23","10",".","54","33"
"02/12/2014","55","PM2.5","San Pablo","06-013-1004","AQS","8","21","4",".","55","33"
"02/13/2014","52","PM2.5","San Pablo","06-013-1004","AQS","8","19","4",".","52","31"
"02/14/2014","42","PM2.5","San Rafael","06-041-0001","AQS","8","19","6",".","42","30"
