"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2017","55","PM2.5","San Pablo","06-013-1004","AQS","7","37","3","17","55","24"
"01/02/2017","36","Ozone","Patterson Pass","06-001-2005","AQS","7","36","3",".","35","32"
"01/03/2017","36","Ozone","San Rafael","06-041-0001","AQS","8","36","1",".","27","24"
"01/04/2017","40","NO2","Laney College","06-001-0012","AQS","8","31","3",".","24","40"
"01/05/2017","36","PM2.5","Oakland West","06-001-0011","AQS","10","32","3",".","36","31"
"01/06/2017","47","PM2.5","Concord","06-013-0002","AQS","10","32","4",".","47","37"
"01/07/2017","33","PM2.5","Concord","06-013-0002","AQS","9","31","9","7","33","23"
"01/08/2017","33","Ozone","Patterson Pass","06-001-2005","AQS","8","33","1",".","16","15"
"01/09/2017","41","Ozone","San Rafael","06-041-0001","AQS","8","41","6",".","23","34"
"01/10/2017","42","Ozone","San Rafael","06-041-0001","AQS","8","42","10",".","20","26"
"01/11/2017","39","Ozone","Patterson Pass","06-001-2005","AQS","8","39","6",".","30","32"
"01/12/2017","36","PM2.5","Concord","06-013-0002","AQS","8","32","1",".","36","31"
"01/13/2017","39","PM2.5","Laney College","06-001-0012","AQS","10","33","4","13","39","30"
"01/14/2017","56","PM2.5","Oakland West","06-001-0011","AQS","13","34","7",".","56","26"
"01/15/2017","68","PM2.5","Oakland West","06-001-0011","AQS","17","32","6",".","68","26"
"01/16/2017","75","PM2.5","Oakland West","06-001-0011","AQS","14","28","6",".","75","34"
"01/17/2017","85","PM2.5","Oakland West","06-001-0011","AQS","13","31","6",".","85","33"
"01/18/2017","62","PM2.5","Concord","06-013-0002","AQS","10","44","6",".","62","35"
"01/19/2017","42","Ozone","Patterson Pass","06-001-2005","AQS","7","42","13","22","41","42"
"01/20/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","6",".","29","34"
"01/21/2017","44","PM2.5","Oakland West","06-001-0011","AQS","7","39","7",".","44","23"
"01/22/2017","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","6",".","30","26"
"01/23/2017","38","Ozone","Patterson Pass","06-001-2005","AQS","7","38","9",".","34","36"
"01/24/2017","47","PM2.5","Oakland West","06-001-0011","AQS","10","37","3",".","47","34"
"01/25/2017","53","PM2.5","Oakland West","06-001-0011","AQS","14","31","4","18","53","35"
"01/26/2017","56","PM2.5","Oakland West","06-001-0011","AQS","13","31","7",".","56","35"
"01/27/2017","45","PM2.5","Oakland West","06-001-0011","AQS","13","36","4",".","45","36"
"01/28/2017","58","PM2.5","Oakland West","06-001-0011","AQS","11","34","9",".","58","33"
"01/29/2017","65","PM2.5","Oakland West","06-001-0011","AQS","15","38","6",".","65","39"
"01/30/2017","69","PM2.5","Oakland West","06-001-0011","AQS","20","37","7",".","69","48"
"01/31/2017","85","PM2.5","Oakland West","06-001-0011","AQS","15","35","6","38","85","42"
"02/01/2017","90","PM2.5","Concord","06-013-0002","AQS","15","34","6",".","90","36"
"02/02/2017","49","PM2.5","Concord","06-013-0002","AQS","9","37","4",".","49","29"
"02/03/2017","38","Ozone","San Francisco","06-075-0005","AQS","8","38","6",".","25","25"
