"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2011","61","PM2.5","San Rafael","06-041-0001","AQS","7","30","3",".","61","26"
"01/02/2011","35","PM2.5","Livermore","06-001-0007","AQS","6","30","6",".","35","24"
"01/03/2011","63","PM2.5","Redwood City","06-081-1001","AQS","8","20","4","17","63","39"
"01/04/2011","72","PM2.5","Livermore","06-001-0007","AQS","13","19","6",".","72","35"
"01/05/2011","72","PM2.5","Livermore","06-001-0007","AQS","15","19","6",".","72","36"
"01/06/2011","70","PM2.5","San Rafael","06-041-0001","AQS","16","14","4",".","70","34"
"01/07/2011","85","PM2.5","San Rafael","06-041-0001","AQS","10","13","3",".","85","30"
"01/08/2011","77","PM2.5","San Rafael","06-041-0001","AQS","8","10","4",".","77","25"
"01/09/2011","61","PM2.5","Livermore","06-001-0007","AQS","10","22","4","13","61","34"
"01/10/2011","69","PM2.5","Livermore","06-001-0007","AQS","14","24","9",".","69","42"
"01/11/2011","81","PM2.5","Livermore","06-001-0007","AQS","10","13","4",".","81","34"
"01/12/2011","74","PM2.5","Livermore","06-001-0007","AQS","11","20","6",".","74","38"
"01/13/2011","74","PM2.5","Oakland West","06-001-0011","AQS","13","12","3",".","74","38"
"01/14/2011","50","PM2.5","Livermore","06-001-0007","AQS","11","20","4",".","50","29"
"01/15/2011","64","PM2.5","Redwood City","06-081-1001","AQS","17","18","7","20","64","29"
"01/16/2011","78","PM2.5","San Rafael","06-041-0001","AQS","16","14","9",".","78","25"
"01/17/2011","82","PM2.5","Oakland","06-001-0009","AQS","13","9","11",".","82","27"
"01/18/2011","59","PM2.5","Oakland","06-001-0009","AQS","14","24","6",".","59","34"
"01/19/2011","52","PM2.5","Oakland West","06-001-0011","AQS","14","23","4","16","52","33"
"01/20/2011","62","PM2.5","Livermore","06-001-0007","AQS","11","29","4",".","62","39"
"01/21/2011","84","PM2.5","Oakland","06-001-0009","AQS","14","21","9","40","84","45"
"01/22/2011","79","PM2.5","San Francisco","06-075-0005","AQS","11","31","7",".","79","42"
"01/23/2011","53","PM2.5","Livermore","06-001-0007","AQS","11","31","11",".","53","42"
"01/24/2011","76","PM2.5","San Francisco","06-075-0005","AQS","14","22","9",".","76","69"
"01/25/2011","74","PM2.5","San Rafael","06-041-0001","AQS","15","27","6",".","74","60"
"01/26/2011","69","PM2.5","Concord","06-013-0002","AQS","13","31","9",".","69","48"
"01/27/2011","74","PM2.5","San Rafael","06-041-0001","AQS","16","31","4","30","74","57"
"01/28/2011","87","PM2.5","Concord","06-013-0002","AQS","13","31","13",".","87","33"
"01/29/2011","66","PM2.5","Concord","06-013-0002","AQS","11","38","4",".","66","24"
"01/30/2011","37","Ozone","San Pablo","06-013-1004","AQS","14","37","7",".","35","27"
"01/31/2011","61","NO2","San Francisco","06-075-0005","AQS","17","19","4",".","54","61"
"02/01/2011","45","PM2.5","Oakland","06-001-0009","AQS","9","35","11",".","45","37"
"02/02/2011","52","NO2","San Francisco","06-075-0005","AQS","8","33","14","13","38","52"
"02/03/2011","72","NO2","San Francisco","06-075-0005","AQS","14","20","9",".","58","72"
"02/04/2011","67","PM2.5","Livermore","06-001-0007","AQS","15","26","7",".","67","54"
"02/05/2011","56","PM2.5","Oakland","06-001-0009","AQS","15","33","19",".","56","41"
"02/06/2011","32","Ozone","Livermore","06-001-0007","AQS","9","32","16",".","29","31"
