"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2002","45","PM2.5","San Francisco","06-075-0005","AQS","10","17","6",".","45","24"
"01/02/2002","25","NO2","San Francisco","06-075-0005","AQS","13","14","1","9","15","25"
"01/03/2002","59","PM2.5","San Francisco","06-075-0005","AQS","17","8","9",".","59","37"
"01/04/2002","55","PM2.5","San Francisco","06-075-0005","AQS","18","6","7",".","55","35"
"01/05/2002","82","PM2.5","San Francisco","06-075-0005","AQS","16","2","9",".","82","28"
"01/06/2002","103","PM2.5","San Francisco","06-075-0005","AQS","25","2","9",".","103","33"
"01/07/2002","104","PM2.5","San Francisco","06-075-0005","AQS","26","2","11",".","104","40"
"01/08/2002","43","PM10","San Francisco","06-075-0005","AQS","24","6","16","43",".","41"
"01/09/2002","47","PM2.5","San Francisco","06-075-0005","AQS","14","9","9",".","47","28"
"01/10/2002","55","PM2.5","San Francisco","06-075-0005","AQS","17","7","7",".","55","33"
"01/11/2002","103","PM2.5","San Francisco","06-075-0005","AQS","18","7","6",".","103","36"
"01/12/2002","125","PM2.5","San Francisco","06-075-0005","AQS","16","6","13",".","125","32"
"01/13/2002","29","NO2","San Francisco","06-075-0005","AQS","15","14","7",".",".","29"
"01/14/2002","33","NO2","San Francisco","06-075-0005","AQS","11","13","10","28",".","33"
"01/15/2002","41","NO2","San Francisco","06-075-0005","AQS","19","20","4",".","38","41"
"01/16/2002","46","PM2.5","San Francisco","06-075-0005","AQS","22","18","7",".","46","42"
"01/17/2002","78","PM2.5","San Francisco","06-075-0005","AQS","17","16","6",".","78","45"
"01/18/2002","78","PM2.5","San Francisco","06-075-0005","AQS","19","11","10",".","78","42"
"01/19/2002","38","NO2","San Francisco","06-075-0005","AQS","19","25","3",".",".","38"
"01/20/2002","33","NO2","San Francisco","06-075-0005","AQS","14","24","4","16",".","33"
