"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2015","76","PM2.5","San Rafael","06-041-0001","AQS","15","31","4",".","76","37"
"01/02/2015","82","PM2.5","San Rafael","06-041-0001","AQS","19","25","7",".","82","42"
"01/03/2015","96","PM2.5","Oakland West","06-001-0011","AQS","20","21","7",".","96","45"
"01/04/2015","99","PM2.5","Oakland West","06-001-0011","AQS","30","28","4",".","99","42"
"01/05/2015","91","PM2.5","Livermore","06-001-0007","AQS","19","28","6",".","91","50"
"01/06/2015","102","PM2.5","Oakland West","06-001-0011","AQS","19","30","30","41","102","53"
"01/07/2015","79","PM2.5","Oakland West","06-001-0011","AQS","19","25","6",".","79","54"
"01/08/2015","109","PM2.5","Oakland West","06-001-0011","AQS","20","21","16",".","109","51"
"01/09/2015","91","PM2.5","Laney College","06-001-0012","AQS","16","12","4",".","91","45"
"01/10/2015","72","PM2.5","Livermore","06-001-0007","AQS","11","17","13",".","72","34"
"01/11/2015","72","PM2.5","Concord","06-013-0002","AQS","11","23","7",".","72","25"
"01/12/2015","57","PM2.5","Oakland","06-001-0009","AQS","16","22","6","14","57","34"
"01/13/2015","53","PM2.5","Oakland West","06-001-0011","AQS","19","26","3",".","53","41"
"01/14/2015","99","PM2.5","San Rafael","06-041-0001","AQS","14","22","3",".","99","33"
"01/15/2015","103","PM2.5","San Rafael","06-041-0001","AQS","16","22","4",".","103","44"
"01/16/2015","102","PM2.5","San Rafael","06-041-0001","AQS","13","16","9",".","102","43"
"01/17/2015","70","PM2.5","San Rafael","06-041-0001","AQS","8","19","3",".","70","29"
"01/18/2015","67","PM2.5","Concord","06-013-0002","AQS","8","12","6","17","67","22"
"01/19/2015","57","PM2.5","San Rafael","06-041-0001","AQS","9","18","3",".","57","26"
"01/20/2015","62","PM2.5","San Pablo","06-013-1004","AQS","15","19","10",".","62","27"
"01/21/2015","61","PM2.5","San Rafael","06-041-0001","AQS","16","19","4",".","61","38"
"01/22/2015","77","PM2.5","San Rafael","06-041-0001","AQS","10","15","3",".","77","29"
"01/23/2015","75","PM2.5","San Rafael","06-041-0001","AQS","14","24","4",".","75","44"
"01/24/2015","90","PM2.5","San Rafael","06-041-0001","AQS","13","24","3","25","90","33"
"01/25/2015","75","PM2.5","San Rafael","06-041-0001","AQS","18","23","4",".","75","32"
"01/26/2015","77","PM2.5","San Rafael","06-041-0001","AQS","23","19","6",".","77","42"
"01/27/2015","63","PM2.5","Concord","06-013-0002","AQS","14","31","10",".","63","43"
"01/28/2015","91","PM2.5","San Francisco","06-075-0005","AQS","23","28","7",".","91","42"
"01/29/2015","60","PM2.5","Laney College","06-001-0012","AQS","13","29","7",".","60","47"
"01/30/2015","55","PM2.5","San Rafael","06-041-0001","AQS","13","23","6","23","55","29"
"01/31/2015","42","PM2.5","Oakland West","06-001-0011","AQS","15","34","6",".","42","35"
"02/01/2015","66","PM2.5","Concord","06-013-0002","AQS","11","20","6",".","66","35"
"02/02/2015","88","PM2.5","San Rafael","06-041-0001","AQS","16","30","7",".","88","45"
