"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/21/2009","52","PM2.5","San Francisco","06-075-0005","AQS","0","25",".","52","12"
"06/22/2009","61","PM2.5","San Francisco","06-075-0005","AQS","2","22",".","61","23"
"06/23/2009","68","PM2.5","San Francisco","06-075-0005","AQS","2","28",".","68","21"
"06/24/2009","58","PM2.5","San Francisco","06-075-0005","AQS",".",".","20","58","16"
"06/25/2009","51","PM2.5","San Francisco","06-075-0005","AQS","1","23",".","51","11"
"06/26/2009","62","PM2.5","San Francisco","06-075-0005","AQS","2","22",".","62","23"
"06/27/2009","70","PM2.5","San Francisco","06-075-0005","AQS","3","40",".","70","28"
"06/28/2009","74","PM2.5","San Francisco","06-075-0005","AQS","5","31",".","74","29"
"06/29/2009","77","PM2.5","San Francisco","06-075-0005","AQS","1","24",".","77","17"
"06/30/2009","58","PM2.5","San Francisco","06-075-0005","AQS","1","27","19","58","19"
"07/01/2009","59","PM2.5","San Francisco","06-075-0005","AQS","2","28",".","59","17"
"07/02/2009","61","PM2.5","San Francisco","06-075-0005","AQS","2","27",".","61","16"
"07/03/2009","48","PM2.5","San Francisco","06-075-0005","AQS","2","31",".","48","13"
"07/04/2009","47","PM2.5","San Francisco","06-075-0005","AQS","2","31",".","47","5"
"07/05/2009","38","PM2.5","San Francisco","06-075-0005","AQS","2","27",".","38","5"
"07/06/2009","40","PM2.5","San Francisco","06-075-0005","AQS","2","23","15","40","11"
"07/07/2009","51","PM2.5","San Francisco","06-075-0005","AQS",".","20",".","51","16"
"07/08/2009","54","PM2.5","San Francisco","06-075-0005","AQS","2","19",".","54","16"
"07/09/2009","45","PM2.5","San Francisco","06-075-0005","AQS","3","22",".","45","9"
"07/10/2009","48","PM2.5","San Francisco","06-075-0005","AQS","3","21",".","48","10"
"07/11/2009","43","PM2.5","San Francisco","06-075-0005","AQS","5","27",".","43","8"
"07/12/2009","33","PM2.5","San Francisco","06-075-0005","AQS","6","22","12","33","8"
"07/13/2009","59","PM2.5","San Francisco","06-075-0005","AQS","8","24",".","59","36"
"07/14/2009","72","PM2.5","San Francisco","06-075-0005","AQS","9","22",".","72","38"
"07/15/2009","55","PM2.5","San Francisco","06-075-0005","AQS","6","22",".","55","16"
"07/16/2009","35","PM2.5","San Francisco","06-075-0005","AQS","6","23",".","35","14"
"07/17/2009","32","PM2.5","San Francisco","06-075-0005","AQS","3","15",".","32","14"
"07/18/2009","48","PM2.5","San Francisco","06-075-0005","AQS","5","14","13","48","11"
"07/19/2009","54","PM2.5","San Francisco","06-075-0005","AQS","6","20",".","54","8"
"07/20/2009","54","PM2.5","San Francisco","06-075-0005","AQS",".","21",".","54","21"
"07/21/2009","35","PM2.5","San Francisco","06-075-0005","AQS",".","19",".","35","12"
"07/22/2009","28","PM2.5","San Francisco","06-075-0005","AQS","1","17",".","28","12"
"07/23/2009","29","PM2.5","San Francisco","06-075-0005","AQS","1","13",".","29","16"
"07/24/2009","20","PM2.5","San Francisco","06-075-0005","AQS","0","18","6","20","14"
"07/25/2009","29","PM2.5","San Francisco","06-075-0005","AQS","0","16",".","29","10"
"07/26/2009","27","PM2.5","San Francisco","06-075-0005","AQS","0","14",".","27","9"
"07/27/2009","31","PM2.5","San Francisco","06-075-0005","AQS","0","17",".","31","12"
"07/28/2009","25","PM2.5","San Francisco","06-075-0005","AQS","0","17",".","25","12"
"07/29/2009","28","PM2.5","San Francisco","06-075-0005","AQS","0","16",".","28","14"
"07/30/2009","24","PM2.5","San Francisco","06-075-0005","AQS","1","17","5","24","10"
"07/31/2009","28","PM2.5","San Francisco","06-075-0005","AQS","1","12",".","28","10"
"08/01/2009","32","PM2.5","San Francisco","06-075-0005","AQS","0","15",".","32","9"
"08/02/2009","30","PM2.5","San Francisco","06-075-0005","AQS","0","19",".","30","6"
"08/03/2009","28","PM2.5","San Francisco","06-075-0005","AQS","1","15",".","28","11"
"08/04/2009","24","PM2.5","San Francisco","06-075-0005","AQS","1","14",".","24","20"
