"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","52","PM2.5","San Francisco","06-075-0005","AQS","8","31","3","13","52","30"
"01/02/2016","53","PM2.5","Livermore","06-001-0007","AQS","7","28","4",".","53","26"
"01/03/2016","72","PM2.5","Livermore","06-001-0007","AQS","8","26","3",".","72","34"
"01/04/2016","65","PM2.5","Concord","06-013-0002","AQS","8","30","3",".","65","39"
"01/05/2016","38","NO2","Laney College","06-001-0012","AQS","8","31","1",".","32","38"
"01/06/2016","35","Ozone","Livermore","06-001-0007","AQS","8","35","4",".","25","35"
"01/07/2016","43","PM2.5","Concord","06-013-0002","AQS","13","30","1","12","43","40"
"01/08/2016","55","PM2.5","Laney College","06-001-0012","AQS","16","26","4",".","55","34"
"01/09/2016","57","PM2.5","Concord","06-013-0002","AQS","9","28","1",".","57","31"
"01/10/2016","45","PM2.5","Redwood City","06-081-1001","AQS","10","26","1",".","45","26"
"01/11/2016","56","PM2.5","San Rafael","06-041-0001","AQS","13","26","1",".","56","32"
"01/12/2016","65","PM2.5","Concord","06-013-0002","AQS","9","31","1",".","65","36"
"01/13/2016","41","PM2.5","Laney College","06-001-0012","AQS","14","34","4","19","41","36"
"01/14/2016","34","Ozone","San Pablo","06-013-1004","AQS","15","34","4",".","32","30"
"01/15/2016","48","PM2.5","San Francisco","06-075-0005","AQS","11","31","3",".","48","41"
"01/16/2016","48","PM2.5","Concord","06-013-0002","AQS","9","26","1",".","48","25"
"01/17/2016","30","PM2.5","Concord","06-013-0002","AQS","9","29","4",".","30","22"
"01/18/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","32","3",".","40","37"
"01/19/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","30","3","15","40","33"
"01/20/2016","54","PM2.5","Oakland West","06-001-0011","AQS","13","29","6",".","54","34"
"01/21/2016","53","PM2.5","Oakland West","06-001-0011","AQS","13","32","3",".","53","37"
"01/22/2016","38","Ozone","San Rafael","06-041-0001","AQS","7","38","4",".","18","29"
"01/23/2016","36","PM2.5","San Rafael","06-041-0001","AQS","6","36","10",".","36","23"
"01/24/2016","32","Ozone","Concord","06-013-0002","AQS","8","32","4",".","31","28"
"01/25/2016","41","PM2.5","Laney College","06-001-0012","AQS","9","28","4","15","41","37"
"01/26/2016","52","PM2.5","Oakland West","06-001-0011","AQS","16","27","4",".","52","27"
"01/27/2016","55","PM2.5","Oakland West","06-001-0011","AQS","13","31","14",".","55","41"
"01/28/2016","66","PM2.5","Oakland West","06-001-0011","AQS","16","31","4",".","66","38"
"01/29/2016","34","Ozone","Redwood City","06-081-1001","AQS","10","34","3",".","31","32"
"01/30/2016","36","Ozone","Livermore","06-001-0007","AQS","7","36","4",".","35","25"
"01/31/2016","34","Ozone","Redwood City","06-081-1001","AQS","7","34","1","9","25","24"
"02/01/2016","37","NO2","Redwood City","06-081-1001","AQS","6","32","4",".","25","37"
"02/02/2016","33","PM2.5","Oakland West","06-001-0011","AQS","9","28","4",".","33","29"
"02/03/2016","48","PM2.5","San Rafael","06-041-0001","AQS","11","29","3",".","48","36"
"02/04/2016","51","PM2.5","San Rafael","06-041-0001","AQS","10","31","3",".","51","31"
"02/05/2016","54","PM2.5","Livermore","06-001-0007","AQS","14","29","7",".","54","41"
"02/06/2016","58","PM2.5","Oakland West","06-001-0011","AQS","10","31","3","19","58","40"
"02/07/2016","52","PM2.5","Laney College","06-001-0012","AQS","14","33","3",".","52","39"
"02/08/2016","44","PM2.5","San Francisco","06-075-0005","AQS","9","37","3",".","44","43"
"02/09/2016","72","PM2.5","Oakland West","06-001-0011","AQS","16","38","4",".","72","47"
"02/10/2016","68","PM2.5","Laney College","06-001-0012","AQS","14","39","9",".","68","46"
"02/11/2016","63","PM2.5","Oakland West","06-001-0011","AQS","15","36","7",".","63","40"
"02/12/2016","57","PM2.5","Livermore","06-001-0007","AQS","10","36","3","17","57","33"
"02/13/2016","47","PM2.5","Oakland West","06-001-0011","AQS","10","29","9",".","47","26"
"02/14/2016","40","PM2.5","Laney College","06-001-0012","AQS","10","28","10",".","40","29"
"02/15/2016","37","NO2","San Francisco","06-075-0005","AQS","11","26","11",".","35","37"
"02/16/2016","61","PM2.5","San Francisco","06-075-0005","AQS","16","38","17",".","61","45"
"02/17/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","9","41","7",".","37","35"
"02/18/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","14","24","30","31"
"02/19/2016","40","Ozone","Patterson Pass","06-001-2005","AQS","7","40","3",".","37","33"
"02/20/2016","40","Ozone","Patterson Pass","06-001-2005","AQS","8","40","3",".","34","31"
"02/21/2016","45","PM2.5","Oakland West","06-001-0011","AQS","11","37","10",".","45","31"
"02/22/2016","45","PM2.5","Oakland West","06-001-0011","AQS","14","40","3",".","45","40"
"02/23/2016","40","PM2.5","Oakland West","06-001-0011","AQS","16","38","4",".","40","39"
"02/24/2016","60","PM2.5","Oakland West","06-001-0011","AQS","14","46","30","21","60","47"
"02/25/2016","71","PM2.5","Oakland West","06-001-0011","AQS","14","50","4",".","71","50"
"02/26/2016","44","PM2.5","Livermore","06-001-0007","AQS","8","44","4",".","44","34"
"02/27/2016","33","Ozone","Patterson Pass","06-001-2005","AQS","7","33","6",".","26","25"
"02/28/2016","47","PM2.5","Oakland West","06-001-0011","AQS","9","32","3",".","47","30"
"02/29/2016","50","PM2.5","Oakland West","06-001-0011","AQS",".","44","4",".","50","41"
"03/01/2016","44","Ozone","Patterson Pass","06-001-2005","AQS","15","44","3","17","35","35"
"03/02/2016","37","PM2.5","Oakland West","06-001-0011","AQS","9","28","13",".","37","23"
"03/03/2016","26","PM2.5","Oakland West","06-001-0011","AQS","6","26","9",".","26","25"
"03/04/2016","28","Ozone","Patterson Pass","06-001-2005","AQS","7","28","1",".","25","26"
"03/05/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","3",".","13","14"
"03/06/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","5","41","9",".","35","18"
"03/07/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","3","10","23","25"
"03/08/2016","41","NO2","San Francisco","06-075-0005","AQS","8","33","10",".","28","41"
"03/09/2016","32","PM2.5","San Pablo","06-013-1004","AQS","9","31","4",".","32","31"
"03/10/2016","32","Ozone","Patterson Pass","06-001-2005","AQS","8","32","6",".","27","25"
"03/11/2016","39","Ozone","Patterson Pass","06-001-2005","AQS","7","39","6",".","27","21"
"03/12/2016","38","Ozone","San Rafael","06-041-0001","AQS","6","38","4",".","26","31"
"03/13/2016","37","Ozone","Patterson Pass","06-001-2005","AQS","7","37","4","11","33","13"
"03/14/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","7","42","3",".","37","38"
"03/15/2016","42","PM2.5","Oakland West","06-001-0011","AQS","9","42","10",".","42","37"
"03/16/2016","47","PM2.5","Oakland West","06-001-0011","AQS","11","39","11",".","47","36"
"03/17/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","15","41","11",".","40","36"
"03/18/2016","40","PM2.5","Redwood City","06-081-1001","AQS","6","31","3",".","40","24"
"03/19/2016","35","PM2.5","Redwood City","06-081-1001","AQS","6","35","3","7","35","17"
"03/20/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","6","42","3",".","22","15"
"03/21/2016","42","Ozone","Patterson Pass","06-001-2005","AQS","6","42","13",".","36","30"
"03/22/2016","37","NO2","San Francisco","06-075-0005","AQS","9","36","4",".","32","37"
"03/23/2016","34","Ozone","Patterson Pass","06-001-2005","AQS","8","34","9",".","31","29"
"03/24/2016","40","PM2.5","Oakland West","06-001-0011","AQS","8","32","11",".","40","32"
"03/25/2016","51","PM2.5","Oakland West","06-001-0011","AQS","7","38","9","25","51","28"
"03/26/2016","47","PM2.5","Oakland West","06-001-0011","AQS","9","40","11",".","47","25"
"03/27/2016","41","Ozone","Redwood City","06-081-1001","AQS","5","41","3",".","32","21"
"03/28/2016","38","PM2.5","Redwood City","06-081-1001","AQS","5","38","3",".","38","23"
"03/29/2016","36","Ozone","Concord","06-013-0002","AQS","6","36","10",".","35","36"
"03/30/2016","51","PM2.5","Oakland West","06-001-0011","AQS","7","36","6",".","51","29"
"03/31/2016","44","PM2.5","San Pablo","06-013-1004","AQS","6","37","7","19","44","27"
"04/01/2016","41","PM2.5","San Pablo","06-013-1004","AQS","6","41","4",".","41","28"
"04/02/2016","44","PM2.5","Oakland West","06-001-0011","AQS","6","43","10",".","44","22"
"04/03/2016","41","Ozone","Patterson Pass","06-001-2005","AQS","6","41","3",".","36","23"
"04/04/2016","43","PM2.5","Oakland West","06-001-0011","AQS","7","40","7",".","43","30"
"04/05/2016","53","PM2.5","Oakland West","06-001-0011","AQS","7","45","13",".","53","38"
"04/06/2016","67","Ozone","Redwood City","06-081-1001","AQS","10","67","16","23","47","46"
"04/07/2016","57","PM2.5","Oakland West","06-001-0011","AQS","8","48","41",".","57","32"
"04/08/2016","51","PM2.5","Oakland West","06-001-0011","AQS","6","31","3",".","51","28"
"04/09/2016","30","PM2.5","Laney College","06-001-0012","AQS","7","29","3",".","30","17"
"04/10/2016","34","Ozone","Oakland","06-001-0009","AQS","6","34","6",".","27","12"
"04/11/2016","41","PM2.5","Oakland West","06-001-0011","AQS","6","34","9",".","41","16"
"04/12/2016","42","Ozone","Hayward","06-001-2001","AQS","6","42","11","13","38","20"
"04/13/2016","46","PM2.5","Oakland West","06-001-0011","AQS","7","45","19",".","46","28"
