"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2008","66","PM2.5","San Francisco","06-075-0005","AQS","8","16","4","21","66","35"
"01/02/2008","69","PM2.5","San Francisco","06-075-0005","AQS","10","22","13",".","69","33"
"01/03/2008","36","PM2.5","San Francisco","06-075-0005","AQS","6","28","1",".","36","35"
"01/04/2008","33","Ozone","San Francisco","06-075-0005","AQS","6","33","1",".","25","13"
"01/05/2008","32","PM2.5","San Francisco","06-075-0005","AQS","6","31","1",".","32","20"
"01/06/2008","29","NO2","San Francisco","06-075-0005","AQS","6","25","1",".","23","29"
"01/07/2008","38","NO2","San Francisco","06-075-0005","AQS","8","26","4","14","31","38"
"01/08/2008","34","PM2.5","San Francisco","06-075-0005","AQS",".","17","1",".","34","32"
"01/09/2008","64","PM2.5","San Francisco","06-075-0005","AQS","7","7","11",".","64","35"
"01/10/2008","64","PM2.5","San Francisco","06-075-0005","AQS","9","1","9",".","64","35"
"01/11/2008","70","PM2.5","San Francisco","06-075-0005","AQS","8","7","7",".","70","27"
"01/12/2008","65","PM2.5","San Francisco","06-075-0005","AQS","8","13","10",".","65","31"
"01/13/2008","50","PM2.5","San Francisco","06-075-0005","AQS","10","14","7","15","50","32"
"01/14/2008","90","PM2.5","San Francisco","06-075-0005","AQS","7","6","7",".","90","35"
"01/15/2008","68","PM2.5","San Francisco","06-075-0005","AQS","13","2","4",".","68","33"
"01/16/2008","38","NO2","San Francisco","06-075-0005","AQS","14","16","10",".","36","38"
"01/17/2008","40","NO2","San Francisco","06-075-0005","AQS","8","12","6",".","27","40"
"01/18/2008","72","PM2.5","San Francisco","06-075-0005","AQS","11","6","11",".","72","44"
"01/19/2008","90","PM2.5","San Francisco","06-075-0005","AQS","10","27","13","34","90","38"
"01/20/2008","32","Ozone","San Francisco","06-075-0005","AQS","5","32","1",".","19","13"
"01/21/2008","33","NO2","San Francisco","06-075-0005","AQS","5","28","1",".","12","33"
"01/22/2008","30","PM2.5","San Francisco","06-075-0005","AQS","5","20","4",".","30","28"
"01/23/2008","33","NO2","San Francisco","06-075-0005","AQS","5","18","4",".","15","33"
"01/24/2008","28","Ozone","San Francisco","06-075-0005","AQS","5","28","4",".","10","26"
"01/25/2008","29","Ozone","San Francisco","06-075-0005","AQS","5","29","6","9","17","20"
"01/26/2008","36","NO2","San Francisco","06-075-0005","AQS","9","31","10",".","23","36"
"01/27/2008","41","Ozone","San Francisco","06-075-0005","AQS","8","41","7",".","16","11"
"01/28/2008","32","NO2","San Francisco","06-075-0005","AQS","6","28","1",".","15","32"
"01/29/2008","38","NO2","San Francisco","06-075-0005","AQS","7","19","3",".","28","38"
"01/30/2008","42","NO2","San Francisco","06-075-0005","AQS","8","22","3",".","31","42"
"01/31/2008","33","PM2.5","San Francisco","06-075-0005","AQS","6","25","3","15","33","30"
"02/01/2008","38","PM2.5","San Francisco","06-075-0005","AQS","8","15","6",".","38","38"
"02/02/2008","44","NO2","San Francisco","06-075-0005","AQS","8","33","1",".","23","44"
"02/03/2008","34","Ozone","San Francisco","06-075-0005","AQS","5","34","1",".","27","12"
"02/04/2008","25","NO2","San Francisco","06-075-0005","AQS","6","19","3",".","15","25"
"02/05/2008","38","NO2","San Francisco","06-075-0005","AQS","8","24","9",".","25","38"
"02/06/2008","32","NO2","San Francisco","06-075-0005","AQS","7","14","4","19","25","32"
"02/07/2008","47","PM2.5","San Francisco","06-075-0005","AQS","10","18","4",".","47","34"
"02/08/2008","62","PM2.5","San Francisco","06-075-0005","AQS","16","5","10",".","62","40"
"02/09/2008","55","PM2.5","San Francisco","06-075-0005","AQS","17","18","9",".","55","45"
"02/10/2008","64","PM2.5","San Francisco","06-075-0005","AQS","11","21","10",".","64","37"
"02/11/2008","57","PM2.5","San Francisco","06-075-0005","AQS","15","4","9",".","57","32"
"02/12/2008","48","PM2.5","San Francisco","06-075-0005","AQS","9","9","4","17","48","29"
"02/13/2008","29","PM2.5","San Francisco","06-075-0005","AQS",".",".",".",".","29","29"
"02/14/2008","41","NO2","San Francisco","06-075-0005","AQS","9","29","3",".","17","41"
"02/15/2008","48","PM2.5","San Francisco","06-075-0005","AQS","11","23","4",".","48","43"
"02/16/2008","64","PM2.5","San Francisco","06-075-0005","AQS","7","24","6",".","64","36"
"02/17/2008","42","PM2.5","San Francisco","06-075-0005","AQS","7","35","1",".","42","17"
"02/18/2008","34","Ozone","San Francisco","06-075-0005","AQS","6","34","3","11","24","20"
"02/19/2008","34","NO2","San Francisco","06-075-0005","AQS","8","31","1",".","23","34"
"02/20/2008","37","NO2","San Francisco","06-075-0005","AQS","7","31","3",".","34","37"
"02/21/2008","36","Ozone","San Francisco","06-075-0005","AQS","7","36","1",".","26","28"
"02/22/2008","36","NO2","San Francisco","06-075-0005","AQS","6","32","1",".","21","36"
"02/23/2008","40","Ozone","San Francisco","06-075-0005","AQS","7","40","1",".","24","32"
"02/24/2008","49","PM2.5","San Francisco","06-075-0005","AQS","5","40","0",".","49","9"
"02/25/2008","48","PM2.5","San Francisco","06-075-0005","AQS","10","23","6",".","48","41"
"02/26/2008","42","PM2.5","San Francisco","06-075-0005","AQS","10","14","7",".","42","35"
"02/27/2008","48","PM2.5","San Francisco","06-075-0005","AQS","8","20","6","20","48","30"
"02/28/2008","59","PM2.5","San Francisco","06-075-0005","AQS",".","20","10",".","59","34"
"02/29/2008","35","PM2.5","San Francisco","06-075-0005","AQS","5","27","1",".","35","23"
"03/01/2008","33","Ozone","San Francisco","06-075-0005","AQS","3","33","1","12","24","19"
"03/02/2008","45","NO2","San Francisco","06-075-0005","AQS","10","33","3",".","25","45"
"03/03/2008","44","PM2.5","San Francisco","06-075-0005","AQS","16","22","6",".","44","40"
"03/04/2008","52","PM2.5","San Francisco","06-075-0005","AQS","6","28","10",".","52","36"
"03/05/2008","51","PM2.5","San Francisco","06-075-0005","AQS","9","31","4",".","51","39"
"03/06/2008","58","PM2.5","San Francisco","06-075-0005","AQS","11","12","9",".","58","43"
"03/07/2008","58","PM2.5","San Francisco","06-075-0005","AQS","13","26","9","25","58","38"
"03/08/2008","36","NO2","San Francisco","06-075-0005","AQS","6","28","3",".","27","36"
"03/09/2008","44","PM2.5","San Francisco","06-075-0005","AQS","7","30","4",".","44","30"
"03/10/2008","52","NO2","San Francisco","06-075-0005","AQS","8","23","6",".","42","52"
"03/11/2008","32","NO2","San Francisco","06-075-0005","AQS","8","31","3",".",".","32"
"03/12/2008","36","PM2.5","San Francisco","06-075-0005","AQS","5","31","1",".","36","35"
"03/13/2008","35","Ozone","San Francisco","06-075-0005","AQS","5","35","1","8","15","19"
"03/14/2008","33","Ozone","San Francisco","06-075-0005","AQS","5","33","1",".","29","17"
"03/15/2008","33","Ozone","San Francisco","06-075-0005","AQS","5","33","1",".","10","19"
