"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2003","65","PM2.5","San Francisco","06-075-0005","AQS","22","16","6",".","65","35"
"01/02/2003","64","PM2.5","San Francisco","06-075-0005","AQS","14","3","10",".","64","32"
"01/03/2003","61","PM2.5","San Francisco","06-075-0005","AQS","18","6","11","29","61","37"
"01/04/2003","60","PM2.5","San Francisco","06-075-0005","AQS","19","8","9",".","60","38"
"01/05/2003","70","PM2.5","San Francisco","06-075-0005","AQS","20","14","14",".","70","33"
"01/06/2003","40","NO2","San Francisco","06-075-0005","AQS","18","15","33",".","36","40"
"01/07/2003","93","PM2.5","San Francisco","06-075-0005","AQS","17","6","9",".","93","42"
"01/08/2003","104","PM2.5","San Francisco","06-075-0005","AQS","17","4","10",".","104","."
"01/09/2003","95","PM2.5","San Francisco","06-075-0005","AQS","15","12","11","36","95","35"
"01/10/2003","30","NO2","San Francisco","06-075-0005","AQS","10","23","4",".","18","30"
"01/11/2003","54","PM2.5","San Francisco","06-075-0005","AQS","11","7","4",".","54","32"
"01/12/2003","40","PM2.5","San Francisco","06-075-0005","AQS","13","20","6",".","40","27"
"01/13/2003","40","PM2.5","San Francisco","06-075-0005","AQS","13","15","7",".","40","32"
"01/14/2003","33","PM2.5","San Francisco","06-075-0005","AQS","13","7","4",".","33","32"
"01/15/2003","40","PM2.5","San Francisco","06-075-0005","AQS","13","6","7","20","40","34"
"01/16/2003","55","PM2.5","San Francisco","06-075-0005","AQS","18","6","7",".","55","38"
"01/17/2003","85","PM2.5","San Francisco","06-075-0005","AQS","18","5","11",".","85","40"
"01/18/2003","102","PM2.5","San Francisco","06-075-0005","AQS","17","6","11",".","102","29"
"01/19/2003","104","PM2.5","San Francisco","06-075-0005","AQS","17","6","7",".","104","24"
"01/20/2003","116","PM2.5","San Francisco","06-075-0005","AQS","14","2","9",".","116","35"
"01/21/2003","76","PM2.5","San Francisco","06-075-0005","AQS","17","1","9","29","76","36"
"01/22/2003","52","PM2.5","San Francisco","06-075-0005","AQS","17","9","11",".","52","28"
"01/23/2003","30","NO2","San Francisco","06-075-0005","AQS","11",".","6",".",".","30"
"01/24/2003","21","SO2","San Francisco","06-075-0005","AQS","14",".","21",".",".","."
"01/25/2003","59","PM2.5","San Francisco","06-075-0005","AQS","13","10","11",".","59","27"
"01/26/2003","69","PM2.5","San Francisco","06-075-0005","AQS","10","9","11",".","69","29"
"01/27/2003","63","PM2.5","San Francisco","06-075-0005","AQS","15",".","13","27","63","31"
