"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","66","PM2.5","Redwood City","06-081-1001","AQS","10","30","4",".","66","33"
"01/02/2013","61","PM2.5","Livermore","06-001-0007","AQS","16","29","6",".","61","42"
"01/03/2013","81","PM2.5","Livermore","06-001-0007","AQS","23","21","4",".","81","42"
"01/04/2013","78","PM2.5","Livermore","06-001-0007","AQS","16","25","6","26","78","40"
"01/05/2013","85","PM2.5","San Rafael","06-041-0001","AQS","18","23","3",".","85","33"
"01/06/2013","55","PM2.5","Redwood City","06-081-1001","AQS","17","26","1",".","55","33"
"01/07/2013","58","PM2.5","Oakland West","06-001-0011","AQS","23","13","4",".","58","35"
"01/08/2013","76","PM2.5","San Rafael","06-041-0001","AQS","15","19","6",".","76","35"
"01/09/2013","68","PM2.5","San Rafael","06-041-0001","AQS","13","34","3",".","68","31"
"01/10/2013","35","NO2","Oakland","06-001-0009","AQS","9","32","3","9","31","35"
"01/11/2013","45","PM2.5","San Rafael","06-041-0001","AQS","10","29","3",".","45","36"
"01/12/2013","48","PM2.5","San Rafael","06-041-0001","AQS","10","32","7",".","48","33"
"01/13/2013","55","PM2.5","Concord","06-013-0002","AQS","10","32","10",".","55","34"
"01/14/2013","44","NO2","San Rafael","06-041-0001","AQS","14","32","4",".","39","44"
"01/15/2013","60","PM2.5","Livermore","06-001-0007","AQS","17","27","10",".","60","41"
"01/16/2013","95","PM2.5","Oakland West","06-001-0011","AQS","20","27","67","36","95","46"
"01/17/2013","88","PM2.5","Oakland West","06-001-0011","AQS","22","27","4",".","88","49"
"01/18/2013","77","PM2.5","Oakland West","06-001-0011","AQS","20","31","4",".","77","56"
"01/19/2013","71","PM2.5","Livermore","06-001-0007","AQS","19","30","11",".","71","42"
"01/20/2013","69","PM2.5","Livermore","06-001-0007","AQS","18","31","6",".","69","42"
"01/21/2013","82","PM2.5","Livermore","06-001-0007","AQS","19","31","11",".","82","44"
"01/22/2013","99","PM2.5","Livermore","06-001-0007","AQS","20","26","24","42","99","42"
"01/23/2013","109","PM2.5","San Pablo","06-013-1004","AQS","16","16","4",".","109","44"
"01/24/2013","81","PM2.5","Redwood City","06-081-1001","AQS","9","21","3",".","81","32"
"01/25/2013","66","PM2.5","Redwood City","06-081-1001","AQS","10","24","6",".","66","27"
"01/26/2013","36","PM2.5","San Rafael","06-041-0001","AQS","9","36","1",".","36","25"
"01/27/2013","31","PM2.5","San Rafael","06-041-0001","AQS","6","31","3",".","31","25"
"01/28/2013","35","PM2.5","San Rafael","06-041-0001","AQS","8","31","6","9","35","33"
"01/29/2013","39","NO2","Redwood City","06-081-1001","AQS","15","29","4",".","38","39"
"01/30/2013","54","PM2.5","Oakland West","06-001-0011","AQS","17","24","21",".","54","41"
"01/31/2013","76","PM2.5","Oakland West","06-001-0011","AQS","17","28","4",".","76","41"
"02/01/2013","85","PM2.5","Oakland West","06-001-0011","AQS","16","28","4",".","85","42"
"02/02/2013","77","PM2.5","Livermore","06-001-0007","AQS","11","31","3",".","77","32"
"02/03/2013","57","PM2.5","Oakland West","06-001-0011","AQS","8","35","1","16","57","28"
"02/04/2013","64","PM2.5","Oakland West","06-001-0011","AQS","9","31","7",".","64","30"
"02/05/2013","40","PM2.5","Oakland West","06-001-0011","AQS","8","32","10",".","40","27"
"02/06/2013","50","NO2","San Francisco","06-075-0005","AQS","9","32","6",".","40","50"
"02/07/2013","38","Ozone","San Francisco","06-075-0005","AQS","9","38","4",".","36","34"
"02/08/2013","34","PM2.5","San Rafael","06-041-0001","AQS","9","34","3",".","34","31"
"02/09/2013","42","PM2.5","Oakland West","06-001-0011","AQS","10","34","6","14","42","40"
"02/10/2013","58","PM2.5","Oakland West","06-001-0011","AQS","13","30","6",".","58","37"
"02/11/2013","50","NO2","San Francisco","06-075-0005","AQS","11","33","3",".","46","50"
"02/12/2013","59","PM2.5","Redwood City","06-081-1001","AQS","13","32","6",".","59","42"
"02/13/2013","71","PM2.5","Oakland","06-001-0009","AQS","14","33","6",".","71","39"
"02/14/2013","60","PM2.5","Oakland West","06-001-0011","AQS","15","33","4",".","60","50"
"02/15/2013","57","PM2.5","Livermore","06-001-0007","AQS","22","36","3","15","57","55"
"02/16/2013","68","PM2.5","Redwood City","06-081-1001","AQS","13","37","3",".","68","42"
"02/17/2013","53","PM2.5","Redwood City","06-081-1001","AQS","10","33","3",".","53","27"
"02/18/2013","40","Ozone","San Pablo","06-013-1004","AQS","8","40","4",".","35","27"
"02/19/2013","37","Ozone","San Pablo","06-013-1004","AQS","6","37","1",".","32","25"
"02/20/2013","50","NO2","San Francisco","06-075-0005","AQS","8","32","4",".","33","50"
"02/21/2013","42","PM2.5","San Rafael","06-041-0001","AQS","8","32","3","16","42","38"
"02/22/2013","53","PM2.5","Oakland West","06-001-0011","AQS","11","35","3",".","53","44"
"02/23/2013","46","PM2.5","San Rafael","06-041-0001","AQS","6","41","1",".","46","26"
"02/24/2013","38","Ozone","Livermore","06-001-0007","AQS","7","38","6",".","33","27"
"02/25/2013","52","PM2.5","Oakland West","06-001-0011","AQS","9","31","1",".","52","35"
"02/26/2013","51","PM2.5","Oakland West","06-001-0011","AQS","10","42","16",".","51","37"
"02/27/2013","61","PM2.5","Oakland West","06-001-0011","AQS","14","37","16","18","61","37"
"02/28/2013","37","NO2","San Francisco","06-075-0005","AQS","7","31","4",".","35","37"
"03/01/2013","48","PM2.5","Oakland","06-001-0009","AQS","5","31","6",".","48","36"
"03/02/2013","53","PM2.5","Redwood City","06-081-1001","AQS","8","34","9",".","53","28"
"03/03/2013","45","PM2.5","San Pablo","06-013-1004","AQS","6","35","4",".","45","23"
"03/04/2013","45","PM2.5","Oakland West","06-001-0011","AQS","6","32","3",".","45","25"
"03/05/2013","39","Ozone","San Rafael","06-041-0001","AQS","6","39","1","24","37","36"
"03/06/2013","43","PM2.5","Oakland West","06-001-0011","AQS","6","39","9",".","43","30"
"03/07/2013","39","PM2.5","Oakland West","06-001-0011","AQS","8","37","3",".","39","31"
"03/08/2013","38","PM2.5","Oakland West","06-001-0011","AQS","6","36","6",".","38","27"
"03/09/2013","52","PM2.5","Oakland West","06-001-0011","AQS","8","36","13",".","52","29"
"03/10/2013","61","PM2.5","Oakland West","06-001-0011","AQS","13","38","7",".","61","30"
"03/11/2013","54","PM2.5","Oakland","06-001-0009","AQS","10","43","20","15","54","49"
"03/12/2013","58","PM2.5","Oakland","06-001-0009","AQS","7","54","13",".","58","34"
"03/13/2013","61","Ozone","Bethel Island","06-013-1002","AQS","10","61","13",".","58","41"
"03/14/2013","51","PM2.5","Livermore","06-001-0007","AQS","10","37","6",".","51","32"
"03/15/2013","49","PM2.5","Oakland West","06-001-0011","AQS","10","27","6",".","49","31"
"03/16/2013","49","PM2.5","San Pablo","06-013-1004","AQS","6","37","4",".","49","29"
"03/17/2013","43","PM2.5","Oakland West","06-001-0011","AQS","6","40","4","18","43","22"
"03/18/2013","53","PM2.5","Oakland West","06-001-0011","AQS","9","36","7",".","53","32"
"03/19/2013","56","NO2","San Francisco","06-075-0005","AQS","9","36","6",".","52","56"
"03/20/2013","38","PM2.5","San Pablo","06-013-1004","AQS","8","35","1",".","38","37"
"03/21/2013","40","Ozone","Bethel Island","06-013-1002","AQS","6","40","6",".","38","40"
"03/22/2013","54","PM2.5","San Rafael","06-041-0001","AQS","10","47","3",".","54","42"
"03/23/2013","52","PM2.5","Oakland West","06-001-0011","AQS","8","50","7","15","52","35"
"03/24/2013","59","PM2.5","Oakland West","06-001-0011","AQS","7","45","4",".","59","27"
"03/25/2013","40","PM2.5","Oakland West","06-001-0011","AQS","8","39","3",".","40","27"
"03/26/2013","40","Ozone","Bethel Island","06-013-1002","AQS","7","40","4",".","26","27"
"03/27/2013","43","PM2.5","Oakland West","06-001-0011","AQS","7","32","4",".","43","29"
"03/28/2013","35","Ozone","Bethel Island","06-013-1002","AQS","7","35","7",".","24","25"
"03/29/2013","43","PM2.5","Oakland West","06-001-0011","AQS","7","35","6","11","43","26"
"03/30/2013","33","PM2.5","Redwood City","06-081-1001","AQS","6","29","4",".","33","16"
"03/31/2013","36","Ozone","Livermore","06-001-0007","AQS","5","36","4",".","25","15"
"04/01/2013","38","Ozone","Livermore","06-001-0007","AQS","6","38","9",".","25","25"
"04/02/2013","34","Ozone","Bethel Island","06-013-1002","AQS","8","34","6",".","29","25"
"04/03/2013","50","PM2.5","Oakland","06-001-0009","AQS","6","39","7",".","50","23"
"04/04/2013","33","Ozone","Livermore","06-001-0007","AQS","6","33","1","6","20","24"
"04/05/2013","34","Ozone","Bethel Island","06-013-1002","AQS","5","34","7",".","26","27"
"04/06/2013","36","Ozone","Oakland West","06-001-0011","AQS","6","36","0",".","27","14"
"04/07/2013","41","Ozone","San Pablo","06-013-1004","AQS","5","41","9",".","40","8"
