"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"05/26/2018","46","PM2.5","Oakland West","06-001-0011","AQS","6","34","1",".","46","16"
"05/27/2018","59","PM2.5","Oakland West","06-001-0011","AQS","6","38","3",".","59","18"
"05/28/2018","73","PM2.5","Oakland West","06-001-0011","AQS","6","45","4",".","73","23"
"05/29/2018","73","PM2.5","Oakland West","06-001-0011","AQS","7","43","4",".","73","27"
"05/30/2018","61","PM2.5","Oakland West","06-001-0011","AQS","5","39","3",".","61","18"
"05/31/2018","52","PM2.5","Oakland West","06-001-0011","AQS","5","38","1",".","52","22"
"06/01/2018","53","PM2.5","Concord","06-013-0002","AQS","6","44","17",".","53","26"
"06/02/2018","71","Ozone","Bethel Island","06-013-1002","AQS","8","71","4",".","63","24"
"06/03/2018","72","PM2.5","Oakland West","06-001-0011","AQS","8","64","6",".","72","25"
"06/04/2018","56","PM2.5","Concord","06-013-0002","AQS","6","48","4",".","56","29"
"06/05/2018","53","PM2.5","Concord","06-013-0002","AQS","6","48","29",".","53","20"
"06/06/2018","54","PM2.5","Concord","06-013-0002","AQS","5","37","20",".","54","20"
"06/07/2018","55","PM2.5","Concord","06-013-0002","AQS","6","44","4",".","55","22"
"06/08/2018","54","PM2.5","Concord","06-013-0002","AQS","7","47","6",".","54","25"
"06/09/2018","38","PM2.5","Concord","06-013-0002","AQS","7","38","4",".","38","15"
"06/10/2018","45","PM2.5","Concord","06-013-0002","AQS","6","38","6",".","45","19"
"06/11/2018","49","PM2.5","Concord","06-013-0002","AQS","6","43","17",".","49","23"
"06/12/2018","59","PM2.5","San Pablo","06-013-1004","AQS","7","50","6",".","59","25"
"06/13/2018","61","PM2.5","Concord","06-013-0002","AQS","7","49","4",".","61","26"
"06/14/2018","61","PM2.5","Concord","06-013-0002","AQS","7","48","14",".","61","24"
"06/15/2018","62","PM2.5","Concord","06-013-0002","AQS","7","39","1",".","62","21"
"06/16/2018","55","PM2.5","Concord","06-013-0002","AQS","6","36","11",".","55","16"
"06/17/2018","57","PM2.5","Concord","06-013-0002","AQS","7","40","19",".","57","11"
"06/18/2018","56","PM2.5","Concord","06-013-0002","AQS","7","44","4",".","56","24"
"06/19/2018","52","PM2.5","Concord","06-013-0002","AQS","7","39","3",".","52","25"
"06/20/2018","51","PM2.5","Concord","06-013-0002","AQS","7","37","6",".","51","20"
"06/21/2018","85","PM2.5","Berkeley Aquatic Park","06-001-0013","AQS","8","47","7",".","85","24"
"06/22/2018","97","Ozone","Livermore","06-001-0007","AQS","8","97","6",".","57","28"
"06/23/2018","67","Ozone","Livermore","06-001-0007","AQS","7","67","10",".","63","22"
"06/24/2018","55","PM2.5","Concord","06-013-0002","AQS","7","44","1",".","55","14"
"06/25/2018","53","PM2.5","Concord","06-013-0002","AQS","7","36","7",".","53","21"
"06/26/2018","62","PM2.5","San Pablo","06-013-1004","AQS","6","50","3",".","62","26"
"06/27/2018","61","PM2.5","San Pablo","06-013-1004","AQS","6","37","4",".","61","21"
"06/28/2018","63","PM2.5","San Pablo","06-013-1004","AQS","5","46","3",".","63","19"
"06/29/2018","62","PM2.5","Concord","06-013-0002","AQS","6","47","6",".","62","24"
"06/30/2018","62","PM2.5","Oakland West","06-001-0011","AQS","7","49","10",".","62","22"
"07/01/2018","53","PM2.5","Concord","06-013-0002","AirNow","7","40",".",".","53","."
"07/02/2018","53","PM2.5","Concord","06-013-0002","AirNow",".","32",".",".","53","."
"07/03/2018","63","PM2.5","San Pablo","06-013-1004","AirNow",".","40",".",".","63","."
"07/04/2018","70","PM2.5","Oakland","06-001-0009","AirNow",".","36",".",".","70","."
"07/05/2018","56","PM2.5","Redwood City","06-081-1001","AirNow",".","50",".",".","56","."
"07/06/2018","54","PM2.5","Laney College","06-001-0012","AirNow",".","42",".",".","54","."
"07/07/2018","50","PM2.5","Laney College","06-001-0012","AirNow",".","44",".",".","50","."
"07/08/2018","54","PM2.5","Concord","06-013-0002","AirNow",".","40",".",".","54","."
"07/09/2018","53","PM2.5","Laney College","06-001-0012","AirNow",".","50",".",".","53","."
"07/10/2018","51","PM2.5","Laney College","06-001-0012","AirNow",".","41",".",".","51","."
"07/11/2018","51","PM2.5","San Rafael","06-041-0001","AirNow",".","48",".",".","51","."
"07/12/2018","45","PM2.5","Concord","06-013-0002","AirNow",".","44",".",".","45","."
"07/13/2018","46","Ozone","Livermore","06-001-0007","AirNow",".","46",".",".","41","."
"07/14/2018","38","PM2.5","Concord","06-013-0002","AirNow",".","35",".",".","38","."
"07/15/2018","42","PM2.5","Laney College","06-001-0012","AirNow",".","36",".",".","42","."
"07/16/2018","52","PM2.5","Concord","06-013-0002","AirNow",".","41",".",".","52","."
"07/17/2018","56","PM2.5","Concord","06-013-0002","AirNow",".","47",".",".","56","."
"07/18/2018","74","Ozone","Livermore","06-001-0007","AirNow",".","74",".",".","60","."
"07/19/2018","67","Ozone","Livermore","06-001-0007","AirNow",".","67",".",".","54","."
"07/20/2018","58","PM2.5","Concord","06-013-0002","AirNow",".","47",".",".","58","."
"07/21/2018","45","PM2.5","Concord","06-013-0002","AirNow",".","40",".",".","45","."
"07/22/2018","48","PM2.5","Concord","06-013-0002","AirNow",".","37",".",".","48","."
"07/23/2018","53","PM2.5","Concord","06-013-0002","AirNow",".","41",".",".","53","."
"07/24/2018","59","PM2.5","Concord","06-013-0002","AirNow",".","45",".",".","59","."
"07/25/2018","60","PM2.5","Concord","06-013-0002","AirNow",".","54",".",".","60","."
"07/26/2018","57","PM2.5","Concord","06-013-0002","AirNow",".","42",".",".","57","."
"07/27/2018","55","PM2.5","Concord","06-013-0002","AirNow",".","41",".",".","55","."
"07/28/2018","58","PM2.5","Concord","06-013-0002","AirNow",".","44",".",".","58","."
"07/29/2018","52","PM2.5","Concord","06-013-0002","AirNow",".","35",".",".","52","."
"07/30/2018","55","PM2.5","Concord","06-013-0002","AirNow",".","44",".",".","55","."
"07/31/2018","62","PM2.5","Concord","06-013-0002","AirNow",".","45",".",".","62","."
"08/01/2018","52","PM2.5","Concord","06-013-0002","AirNow",".","40",".",".","52","."
"08/02/2018","42","Ozone","Bethel Island","06-013-1002","AirNow",".","42",".",".","40","."
"08/03/2018","105","Ozone","Livermore","06-001-0007","AirNow",".","105",".",".","74","."
"08/04/2018","56","PM2.5","Laney College","06-001-0012","AirNow",".","36",".",".","56","."
"08/05/2018","45","PM2.5","Oakland West","06-001-0011","AirNow",".","31",".",".","45","."
"08/06/2018","44","Ozone","Livermore","06-001-0007","AirNow",".","44",".",".","42","."
"08/07/2018","40","PM2.5","San Rafael","06-041-0001","AirNow",".","30",".",".","40","."
"08/08/2018","100","Ozone","Livermore","06-001-0007","AirNow",".","100",".",".","92","."
"08/09/2018","126","Ozone","Livermore","06-001-0007","AirNow",".","126",".",".","79","."
"08/10/2018","52","PM2.5","Livermore","06-001-0007","AirNow",".","44",".",".","52","."
"08/11/2018","47","PM2.5","Oakland West","06-001-0011","AirNow",".","38",".",".","47","."
"08/12/2018","59","PM2.5","Oakland West","06-001-0011","AirNow",".","44",".",".","59","."
"08/13/2018","54","PM2.5","Livermore","06-001-0007","AirNow",".","41",".",".","54","."
"08/14/2018","39","PM2.5","Laney College","06-001-0012","AirNow",".","30",".",".","39","."
"08/15/2018","66","PM2.5","Laney College","06-001-0012","AirNow",".","48",".",".","66","."
"08/16/2018","72","PM2.5","Laney College","06-001-0012","AirNow",".","71",".",".","72","."
"08/17/2018","65","PM2.5","Laney College","06-001-0012","AirNow",".","61",".",".","65","."
"08/18/2018","122","Ozone","Livermore","06-001-0007","AirNow",".","122",".",".","83","."
"08/19/2018","91","PM2.5","Livermore","06-001-0007","AirNow",".","84",".",".","91","."
"08/20/2018","83","PM2.5","Livermore","06-001-0007","AirNow",".","44",".",".","83","."
"08/21/2018","63","PM2.5","Laney College","06-001-0012","AirNow",".","40",".",".","63","."
"08/22/2018","92","PM2.5","Laney College","06-001-0012","AirNow",".","61",".",".","92","."
"08/23/2018","133","PM2.5","Laney College","06-001-0012","AirNow",".","61",".",".","133","."
"08/24/2018","79","PM2.5","Laney College","06-001-0012","AirNow",".","50",".",".","79","."
"08/25/2018","69","PM2.5","Oakland West","06-001-0011","AirNow",".","44",".",".","69","."
"08/26/2018","62","PM2.5","Oakland West","06-001-0011","AirNow",".","40",".",".","62","."
"08/27/2018","60","PM2.5","Laney College","06-001-0012","AirNow",".","35",".",".","60","."
"08/28/2018","38","PM2.5","Laney College","06-001-0012","AirNow",".","27",".",".","38","."
"08/29/2018","55","PM2.5","Laney College","06-001-0012","AirNow",".","43",".",".","55","."
"08/30/2018","57","PM2.5","Laney College","06-001-0012","AirNow",".","46",".",".","57","."
"08/31/2018","45","PM2.5","Oakland West","06-001-0011","AirNow",".","43",".",".","45","."
"09/01/2018","55","PM2.5","Oakland West","06-001-0011","AirNow",".","36",".",".","55","."
"09/02/2018","68","PM2.5","Oakland West","06-001-0011","AirNow",".","46",".",".","68","."
"09/03/2018","83","PM2.5","Laney College","06-001-0012","AirNow",".","44",".",".","83","."
"09/04/2018","69","PM2.5","Oakland West","06-001-0011","AirNow",".","45",".",".","69","."
"09/05/2018","63","PM2.5","Oakland","06-001-0009","AirNow",".","36",".",".","63","."
"09/06/2018","58","PM2.5","Laney College","06-001-0012","AirNow",".","46",".",".","58","."
"09/07/2018","64","Ozone","Livermore","06-001-0007","AirNow",".","64",".",".","57","."
"09/08/2018","49","PM2.5","San Pablo","06-013-1004","AirNow",".","34",".",".","49","."
"09/09/2018","54","PM2.5","Oakland West","06-001-0011","AirNow",".","48",".",".","54","."
"09/10/2018","57","PM2.5","Oakland West","06-001-0011","AirNow",".","47",".",".","57","."
"09/11/2018","57","PM2.5","Oakland West","06-001-0011","AirNow",".","45",".",".","57","."
"09/12/2018","49","PM2.5","Oakland West","06-001-0011","AirNow",".","33",".",".","49","."
"09/13/2018","45","PM2.5","Laney College","06-001-0012","AirNow",".","34",".",".","45","."
"09/14/2018","41","PM2.5","Laney College","06-001-0012","AirNow",".","37",".",".","41","."
"09/15/2018","33","Ozone","Bethel Island","06-013-1002","AirNow",".","33",".",".","30","."
"09/16/2018","37","Ozone","Bethel Island","06-013-1002","AirNow",".","37",".",".","29","."
"09/17/2018","37","Ozone","Bethel Island","06-013-1002","AirNow",".","37",".",".","35","."
"09/18/2018","51","PM2.5","Laney College","06-001-0012","AirNow",".","43",".",".","51","."
"09/19/2018","59","PM2.5","Laney College","06-001-0012","AirNow",".","54",".",".","59","."
"09/20/2018","74","Ozone","San Ramon","06-013-2007","AirNow",".","74",".",".","70","."
"09/21/2018","97","Ozone","Bethel Island","06-013-1002","AirNow",".","97",".",".","67","."
"09/22/2018","57","PM2.5","Oakland West","06-001-0011","AirNow",".","50",".",".","57","."
"09/23/2018","57","PM2.5","Oakland West","06-001-0011","AirNow",".","44",".",".","57","."
"09/24/2018","70","PM2.5","Oakland West","06-001-0011","AirNow",".","61",".",".","70","."
"09/25/2018","76","PM2.5","Oakland West","06-001-0011","AirNow",".","50",".",".","76","."
"09/26/2018","77","Ozone","San Ramon","06-013-2007","AirNow",".","77",".",".","70","."
"09/27/2018","67","Ozone","Livermore","06-001-0007","AirNow",".","67",".",".","56","."
"09/28/2018","56","PM2.5","Laney College","06-001-0012","AirNow",".","43",".",".","56","."
"09/29/2018","40","PM2.5","Laney College","06-001-0012","AirNow",".","36",".",".","40","."
"09/30/2018","36","Ozone","Bethel Island","06-013-1002","AirNow",".","36",".",".","35","."
"10/01/2018","52","PM2.5","Oakland West","06-001-0011","AirNow",".","37",".",".","52","."
"10/02/2018","52","PM2.5","Oakland West","06-001-0011","AirNow",".","44",".",".","52","."
"10/03/2018","41","PM2.5","Oakland West","06-001-0011","AirNow",".","27",".",".","41","."
"10/04/2018","31","Ozone","Livermore","06-001-0007","AirNow",".","31",".",".","26","."
"10/05/2018","37","PM2.5","Laney College","06-001-0012","AirNow",".","31",".",".","37","."
"10/06/2018","38","PM2.5","Laney College","06-001-0012","AirNow",".","34",".",".","38","."
"10/07/2018","75","PM2.5","Concord","06-013-0002","AirNow",".","46",".",".","75","."
"10/08/2018","42","Ozone","Bethel Island","06-013-1002","AirNow",".","42",".",".","41","."
"10/09/2018","46","PM2.5","Laney College","06-001-0012","AirNow",".","40",".",".","46","."
"10/10/2018","45","PM2.5","Laney College","06-001-0012","AirNow",".","32",".",".","45","."
"10/11/2018","49","PM2.5","Laney College","06-001-0012","AirNow",".","35",".",".","49","."
"10/12/2018","44","PM2.5","Laney College","06-001-0012","AirNow",".","37",".",".","44","."
"10/13/2018","53","PM2.5","Oakland West","06-001-0011","AirNow",".","42",".",".","53","."
"10/14/2018","59","PM2.5","Oakland West","06-001-0011","AirNow",".","38",".",".","59","."
"10/15/2018","42","Ozone","San Rafael","06-041-0001","AirNow",".","42",".",".","30","."
"10/16/2018","41","PM2.5","San Francisco","06-075-0005","AirNow",".","37",".",".","41","."
"10/17/2018","68","PM2.5","Oakland West","06-001-0011","AirNow",".","49",".",".","68","."
"10/18/2018","67","PM2.5","Oakland West","06-001-0011","AirNow",".","58",".",".","67","."
"10/19/2018","80","Ozone","Livermore","06-001-0007","AirNow",".","80",".",".","64","."
"10/20/2018","93","Ozone","Bethel Island","06-013-1002","AirNow",".","93",".",".","70","."
"10/21/2018","64","PM2.5","Oakland West","06-001-0011","AirNow",".","44",".",".","64","."
"10/22/2018","56","PM2.5","Oakland West","06-001-0011","AirNow",".","38",".",".","56","."
"10/23/2018","46","PM2.5","Oakland West","06-001-0011","AirNow",".","35",".",".","46","."
"10/24/2018","44","PM2.5","Oakland West","06-001-0011","AirNow",".","37",".",".","44","."
"10/25/2018","55","PM2.5","Oakland West","06-001-0011","AirNow",".","43",".",".","55","."
"10/26/2018","51","PM2.5","Oakland West","06-001-0011","AirNow",".","51",".",".","51","."
"10/27/2018","41","PM2.5","Oakland West","06-001-0011","AirNow",".","26",".",".","41","."
