"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2007","87","PM2.5","San Francisco","06-075-0005","AQS","13","11","9",".","87","34"
"01/02/2007","70","PM2.5","San Francisco","06-075-0005","AQS","18","9","9",".","70","42"
"01/03/2007","52","PM2.5","San Francisco","06-075-0005","AQS","9","24","4",".","52","32"
"01/04/2007","27","Ozone","San Francisco","06-075-0005","AQS","5","27","1",".","12","25"
"01/05/2007","25","NO2","San Francisco","06-075-0005","AQS","6","23","3",".","14","25"
"01/06/2007","32","NO2","San Francisco","06-075-0005","AQS","9","17","6","13","27","32"
"01/07/2007","35","PM2.5","San Francisco","06-075-0005","AQS","11","16","6",".","35","30"
"01/08/2007","56","PM2.5","San Francisco","06-075-0005","AQS","15","8","10",".","56","42"
"01/09/2007","83","PM2.5","San Francisco","06-075-0005","AQS","14","9","14",".","83","39"
"01/10/2007","54","PM2.5","San Francisco","06-075-0005","AQS","15","26","6",".","54","35"
"01/11/2007","23","Ozone","San Francisco","06-075-0005","AQS","6","23","4",".","11","."
"01/12/2007","23","Ozone","San Francisco","06-075-0005","AQS","5","23","3","15","14","."
"01/13/2007","37","NO2","San Francisco","06-075-0005","AQS","7","24","7",".","21","37"
"01/14/2007","63","PM2.5","San Francisco","06-075-0005","AQS","10","22","7",".","63","38"
"01/15/2007","51","PM2.5","San Francisco","06-075-0005","AQS","11","19","7",".","51","42"
"01/16/2007","60","PM2.5","San Francisco","06-075-0005","AQS","10","19","11",".","60","40"
"01/17/2007","54","PM2.5","San Francisco","06-075-0005","AQS",".",".",".",".","54","."
"01/18/2007","64","PM2.5","San Francisco","06-075-0005","AQS","15","7","14","28","64","42"
"01/19/2007","68","PM2.5","San Francisco","06-075-0005","AQS","17","8","13",".","68","45"
"01/20/2007","61","PM2.5","San Francisco","06-075-0005","AQS","17","13","3",".","61","38"
"01/21/2007","40","NO2","San Francisco","06-075-0005","AQS","13","30","3",".","23","40"
"01/22/2007","39","NO2","San Francisco","06-075-0005","AQS","10",".","7",".","26","39"
"01/23/2007","96","PM2.5","San Francisco","06-075-0005","AQS","13","13","23",".","96","52"
"01/24/2007","123","PM2.5","San Francisco","06-075-0005","AQS","13","18","13","52","123","45"
"01/25/2007","95","PM2.5","San Francisco","06-075-0005","AQS","7","19","9",".","95","43"
"01/26/2007","101","PM2.5","San Francisco","06-075-0005","AQS","10","14","3",".","101","41"
"01/27/2007","94","PM2.5","San Francisco","06-075-0005","AQS","9","7","7",".","94","35"
"01/28/2007","81","PM2.5","San Francisco","06-075-0005","AQS","9","19","3",".","81","32"
"01/29/2007","69","PM2.5","San Francisco","06-075-0005","AQS","10","16","4",".","69","43"
"01/30/2007","55","PM2.5","San Francisco","06-075-0005","AQS","14","31","3","24","55","46"
"01/31/2007","51","PM2.5","San Francisco","06-075-0005","AQS","6","27","3",".","51","25"
"02/01/2007","38","PM2.5","San Francisco","06-075-0005","AQS","6","30","1",".","38","27"
"02/02/2007","74","PM2.5","San Francisco","06-075-0005","AQS","7","22","6",".","74","33"
"02/03/2007","104","PM2.5","San Francisco","06-075-0005","AQS","9","23","7",".","104","45"
"02/04/2007","108","PM2.5","San Francisco","06-075-0005","AQS","15","18","11",".","108","52"
"02/05/2007","125","PM2.5","San Francisco","06-075-0005","AQS","15","30","9","56","125","54"
"02/06/2007","68","PM2.5","San Francisco","06-075-0005","AQS","8","26","9",".","68","41"
"02/07/2007","39","NO2","San Francisco","06-075-0005","AQS","7","27","7",".","26","39"
"02/08/2007","42","NO2","San Francisco","06-075-0005","AQS","7","22","6",".","32","42"
"02/09/2007","29","NO2","San Francisco","06-075-0005","AQS","7","14","0",".","15","29"
"02/10/2007","32","Ozone","San Francisco","06-075-0005","AQS","6","32","0",".","10","19"
"02/11/2007","33","Ozone","San Francisco","06-075-0005","AQS","5","33","0","15","19","22"
"02/12/2007","35","NO2","San Francisco","06-075-0005","AQS","8","19","13",".","26","35"
"02/13/2007","32","NO2","San Francisco","06-075-0005","AQS","8","25","1",".","24","32"
"02/14/2007","38","PM2.5","San Francisco","06-075-0005","AQS","10","12","9",".","38","32"
"02/15/2007","40","PM2.5","San Francisco","06-075-0005","AQS","13","15","11",".","40","34"
"02/16/2007","41","PM2.5","San Francisco","06-075-0005","AQS","15","10","7",".","41","39"
"02/17/2007","46","NO2","San Francisco","06-075-0005","AQS","13","23","7","14","23","46"
"02/18/2007","30","NO2","San Francisco","06-075-0005","AQS","7","25","9",".","29","30"
"02/19/2007","25","PM2.5","San Francisco","06-075-0005","AQS","7","25","1",".","25","23"
"02/20/2007","31","Ozone","San Francisco","06-075-0005","AQS","7","31","1",".","14","24"
"02/21/2007","33","Ozone","San Francisco","06-075-0005","AQS","5","33","1",".","9","19"
"02/22/2007","32","Ozone","San Francisco","06-075-0005","AQS","6","32","1",".","10","29"
"02/23/2007","30","Ozone","San Francisco","06-075-0005","AQS","7","30","1","12","14","29"
"02/24/2007","36","Ozone","San Francisco","06-075-0005","AQS","8","36","1",".","13","29"
"02/25/2007","37","Ozone","San Francisco","06-075-0005","AQS","5","37","1",".","25","11"
"02/26/2007","33","NO2","San Francisco","06-075-0005","AQS","6","31","1",".","15","33"
"02/27/2007","46","NO2","San Francisco","06-075-0005","AQS","7","29","1",".","15","46"
"02/28/2007","31","Ozone","San Francisco","06-075-0005","AQS","6","31","1",".","18","."
"03/01/2007","42","PM2.5","San Francisco","06-075-0005","AQS","7","34","6","19","42","41"
"03/02/2007","42","NO2","San Francisco","06-075-0005","AQS","7","24","3",".","15","42"
"03/03/2007","37","NO2","San Francisco","06-075-0005","AQS","9","26","3",".","29","37"
"03/04/2007","53","PM2.5","San Francisco","06-075-0005","AQS","10","33","6",".","53","50"
"03/05/2007","47","NO2","San Francisco","06-075-0005","AQS","8","31","11",".","43","47"
"03/06/2007","45","PM2.5","San Francisco","06-075-0005","AQS","7","28","9",".","45","36"
"03/07/2007","33","NO2","San Francisco","06-075-0005","AQS","6","31","1","11","22","33"
"03/08/2007","31","Ozone","San Francisco","06-075-0005","AQS","6","31","7",".","20","25"
"03/09/2007","32","Ozone","San Francisco","06-075-0005","AQS","6","32","1",".","24","26"
"03/10/2007","32","NO2","San Francisco","06-075-0005","AQS","7","24","6",".","23","32"
"03/11/2007","34","PM2.5","San Francisco","06-075-0005","AQS","9","22","11",".","34","32"
"03/12/2007","52","PM2.5","San Francisco","06-075-0005","AQS","13","31","10",".","52","42"
"03/13/2007","36","NO2","San Francisco","06-075-0005","AQS","8","30","3","21","31","36"
"03/14/2007","33","NO2","San Francisco","06-075-0005","AQS","6","28","1",".","32","33"
"03/15/2007","45","PM2.5","San Francisco","06-075-0005","AQS","8","18","6",".","45","39"
"03/16/2007","58","PM2.5","San Francisco","06-075-0005","AQS","11","30","17",".","58","47"
"03/17/2007","27","Ozone","San Francisco","06-075-0005","AQS","6","27","0",".","23","12"
"03/18/2007","26","Ozone","San Francisco","06-075-0005","AQS","3","26","1",".","14","6"
"03/19/2007","22","Ozone","San Francisco","06-075-0005","AQS","3","22","0","6","12","16"
"03/20/2007","28","Ozone","San Francisco","06-075-0005","AQS","5","28","1",".","17","22"
"03/21/2007","38","NO2","San Francisco","06-075-0005","AQS","8","26","1",".","32","38"
"03/22/2007","47","NO2","San Francisco","06-075-0005","AQS","11","27","4",".","41","47"
"03/23/2007","47","PM2.5","San Francisco","06-075-0005","AQS","7","31","7",".","47","32"
"03/24/2007","30","Ozone","San Francisco","06-075-0005","AQS","5","30","1",".","19","11"
"03/25/2007","27","Ozone","San Francisco","06-075-0005","AQS","3","27","0","3","6","9"
"03/26/2007","36","Ozone","San Francisco","06-075-0005","AQS","6","36","1",".","8","26"
"03/27/2007","32","Ozone","San Francisco","06-075-0005","AQS","5","32","1",".","27","22"
"03/28/2007","40","NO2","San Francisco","06-075-0005","AQS","8","31","3",".","36","40"
"03/29/2007","45","PM2.5","San Francisco","06-075-0005","AQS","11","30","7",".","45","40"
"03/30/2007","52","PM2.5","San Francisco","06-075-0005","AQS","6","31","19",".","52","29"
"03/31/2007","33","Ozone","San Francisco","06-075-0005","AQS","5","33","9","19","32","21"
"04/01/2007","34","Ozone","San Francisco","06-075-0005","AQS","3","34","1",".","21","8"
"04/02/2007","40","NO2","San Francisco","06-075-0005","AQS","6","31","9",".","35","40"
"04/03/2007","31","PM2.5","San Francisco","06-075-0005","AQS","6","30","4",".","31","."
"04/04/2007","33","PM2.5","San Francisco","06-075-0005","AQS","6","27","1",".","33","."
"04/05/2007","28","PM2.5","San Francisco","06-075-0005","AQS","6","26","3",".","28","."
