"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2006","31","Ozone","San Francisco","06-075-0005","AQS","6","31","3",".","22","17"
"01/02/2006","25","Ozone","San Francisco","06-075-0005","AQS","6","25","1",".","20","25"
"01/03/2006","29","NO2","San Francisco","06-075-0005","AQS","7","24","3",".","19","29"
"01/04/2006","37","PM2.5","San Francisco","06-075-0005","AQS","9","15","13",".","37","37"
"01/05/2006","63","PM2.5","San Francisco","06-075-0005","AQS","10","6","10","27","63","36"
"01/06/2006","58","PM2.5","San Francisco","06-075-0005","AQS","13","28","16",".","58","39"
"01/07/2006","31","Ozone","San Francisco","06-075-0005","AQS","7","31","3",".","19","30"
"01/08/2006","38","NO2","San Francisco","06-075-0005","AQS","11","22","4",".","32","38"
"01/09/2006","55","PM2.5","San Francisco","06-075-0005","AQS","14","6","36",".","55","35"
"01/10/2006","71","PM2.5","San Francisco","06-075-0005","AQS","14","6","10",".","71","39"
"01/11/2006","56","PM2.5","San Francisco","06-075-0005","AQS","11","18","7","22","56","35"
"01/12/2006","64","PM2.5","San Francisco","06-075-0005","AQS","13","6","11",".","64","37"
"01/13/2006","68","PM2.5","San Francisco","06-075-0005","AQS","9","31","10",".","68","30"
"01/14/2006","31","Ozone","San Francisco","06-075-0005","AQS","6","31","1",".","13","13"
"01/15/2006","37","NO2","San Francisco","06-075-0005","AQS","9","29","6",".","21","37"
"01/16/2006","57","PM2.5","San Francisco","06-075-0005","AQS","11","8","16",".","57","42"
"01/17/2006","45","PM2.5","San Francisco","06-075-0005","AQS","13","31","6","18","45","33"
"01/18/2006","37","NO2","San Francisco","06-075-0005","AQS","7","31","1",".","20","37"
"01/19/2006","37","NO2","San Francisco","06-075-0005","AQS","10","18","9",".","31","37"
"01/20/2006","46","PM2.5","San Francisco","06-075-0005","AQS","13","17","6",".","46","32"
"01/21/2006","48","PM2.5","San Francisco","06-075-0005","AQS","8","10","3",".","48","30"
"01/22/2006","37","PM2.5","San Francisco","06-075-0005","AQS","9","23","4",".","37","37"
"01/23/2006","50","NO2","San Francisco","06-075-0005","AQS","19","14","10","22","30","50"
"01/24/2006","71","PM2.5","San Francisco","06-075-0005","AQS","19","7","16",".","71","43"
"01/25/2006","63","PM2.5","San Francisco","06-075-0005","AQS","14","26","10",".","63","36"
"01/26/2006","34","NO2","San Francisco","06-075-0005","AQS","8","24","13",".","25","34"
"01/27/2006","37","NO2","San Francisco","06-075-0005","AQS","8","20","4",".","32","37"
"01/28/2006","37","NO2","San Francisco","06-075-0005","AQS","9","27","4",".","32","37"
"01/29/2006","38","NO2","San Francisco","06-075-0005","AQS","8","28","7","17","32","38"
"01/30/2006","35","NO2","San Francisco","06-075-0005","AQS","9","25","3",".","33","35"
"01/31/2006","35","PM2.5","San Francisco","06-075-0005","AQS","9","21","7",".","35","35"
"02/01/2006","33","PM2.5","San Francisco","06-075-0005","AQS","9","13","3",".","33","31"
"02/02/2006","31","NO2","San Francisco","06-075-0005","AQS","9","21","1",".","18","31"
"02/03/2006","56","PM2.5","San Francisco","06-075-0005","AQS","8","13","10",".","56","32"
"02/04/2006","31","Ozone","San Francisco","06-075-0005","AQS","8","31","4","15","24","28"
"02/05/2006","30","Ozone","San Francisco","06-075-0005","AQS","6","30","10",".","18","26"
"02/06/2006","53","PM2.5","San Francisco","06-075-0005","AQS","10","10","10",".","53","."
"02/07/2006","62","PM2.5","San Francisco","06-075-0005","AQS","19","6","21",".","62","60"
"02/08/2006","61","PM2.5","San Francisco","06-075-0005","AQS","19","13","24",".","61","52"
"02/09/2006","92","PM2.5","San Francisco","06-075-0005","AQS","17","15","16",".","92","63"
"02/10/2006","84","PM2.5","San Francisco","06-075-0005","AQS","17","21","11","41","84","48"
"02/11/2006","61","PM2.5","San Francisco","06-075-0005","AQS","9","25","4",".","61","32"
"02/12/2006","55","PM2.5","San Francisco","06-075-0005","AQS","11","17","16",".","55","31"
"02/13/2006","58","PM2.5","San Francisco","06-075-0005","AQS","15","15","9",".","58","38"
"02/14/2006","53","PM2.5","San Francisco","06-075-0005","AQS","14","33","7",".","53","33"
"02/15/2006","34","NO2","San Francisco","06-075-0005","AQS","9","29","0",".","5","34"
"02/16/2006","51","NO2","San Francisco","06-075-0005","AQS",".","29","3","14","16","51"
"02/17/2006","42","PM2.5","San Francisco","06-075-0005","AQS","7","15","4",".","42","36"
"02/18/2006","34","PM2.5","San Francisco","06-075-0005","AQS","7","24","6",".","34","31"
"02/19/2006","36","PM2.5","San Francisco","06-075-0005","AQS","6","29","7",".","36","29"
"02/20/2006","52","PM2.5","San Francisco","06-075-0005","AQS","9","29","6",".","52","41"
"02/21/2006","49","PM2.5","San Francisco","06-075-0005","AQS","11","18","7",".","49","42"
"02/22/2006","52","PM2.5","San Francisco","06-075-0005","AQS","13","15","6","23","52","43"
"02/23/2006","73","PM2.5","San Francisco","06-075-0005","AQS","16","21","17",".","73","49"
"02/24/2006","75","PM2.5","San Francisco","06-075-0005","AQS","17","17","13",".","75","48"
"02/25/2006","69","PM2.5","San Francisco","06-075-0005","AQS","18","40","4",".","69","43"
"02/26/2006","64","PM2.5","San Francisco","06-075-0005","AQS","9","42","7",".","64","35"
"02/27/2006","37","Ozone","San Francisco","06-075-0005","AQS","6","37","1",".","15","23"
"02/28/2006","40","NO2","San Francisco","06-075-0005","AQS","9","33","1","15","22","40"
"03/01/2006","35","Ozone","San Francisco","06-075-0005","AQS","13","35","4",".","25","35"
"03/02/2006","39","NO2","San Francisco","06-075-0005","AQS","7","33","3",".","20","39"
"03/03/2006","35","NO2","San Francisco","06-075-0005","AQS","9","32","1",".","18","35"
"03/04/2006","37","NO2","San Francisco","06-075-0005","AQS","9","35","1",".","22","37"
"03/05/2006","35","Ozone","San Francisco","06-075-0005","AQS","6","35","1",".","9","14"
"03/06/2006","34","NO2","San Francisco","06-075-0005","AQS","7","29","1","9","17","34"
"03/07/2006","33","Ozone","San Francisco","06-075-0005","AQS","6","33","1",".","17","33"
"03/08/2006","46","NO2","San Francisco","06-075-0005","AQS","8","31","16",".","26","46"
"03/09/2006","20","PM2.5","San Francisco","06-075-0005","AQS",".",".",".",".","20","."
"03/10/2006","36","Ozone","San Francisco","06-075-0005","AQS","6","36","1",".","17","32"
"03/11/2006","34","Ozone","San Francisco","06-075-0005","AQS","6","34","4",".","18","20"
"03/12/2006","31","Ozone","San Francisco","06-075-0005","AQS","6","31","7","6","10","31"
"03/13/2006","36","Ozone","San Francisco","06-075-0005","AQS","8","36","4",".","21","36"
"03/14/2006","50","NO2","San Francisco","06-075-0005","AQS","6","36","3",".","18","50"
"03/15/2006","39","NO2","San Francisco","06-075-0005","AQS","7","34","3",".","16","39"
"03/16/2006","32","Ozone","San Francisco","06-075-0005","AQS","6","32","1",".","22","27"
"03/17/2006","33","Ozone","San Francisco","06-075-0005","AQS","6","33","1",".","20","30"
"03/18/2006","30","NO2","San Francisco","06-075-0005","AQS","7","29","6","13","21","30"
"03/19/2006","36","Ozone","San Francisco","06-075-0005","AQS","6","36","4",".","22","17"
