"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2010","91","PM2.5","Concord","06-013-0002","AQS","6","20","7",".","91","30"
"01/02/2010","64","PM2.5","Concord","06-013-0002","AQS","15","24","4","19","64","31"
"01/03/2010","65","PM2.5","Concord","06-013-0002","AQS","13","20","6",".","65","26"
"01/04/2010","96","PM2.5","San Rafael","06-041-0001","AQS","15","21","3",".","96","31"
"01/05/2010","103","PM2.5","San Francisco","06-075-0005","AQS","16","13","9",".","103","31"
"01/06/2010","115","PM2.5","San Francisco","06-075-0005","AQS","19","11","13",".","115","29"
"01/07/2010","125","PM2.5","San Francisco","06-075-0005","AQS","18","5","7",".","125","27"
"01/08/2010","128","PM2.5","San Rafael","06-041-0001","AQS","17","6","11","44","128","27"
"01/09/2010","77","PM2.5","San Rafael","06-041-0001","AQS","17","6","7",".","77","28"
"01/10/2010","79","PM2.5","San Rafael","06-041-0001","AQS","17","8","4",".","79","26"
"01/11/2010","91","PM2.5","San Rafael","06-041-0001","AQS","19","18","4",".","91","26"
"01/12/2010","34","Ozone","San Francisco","06-075-0005","AQS","17","34","4",".","25","25"
"01/13/2010","46","PM2.5","San Francisco","06-075-0005","AQS","7","37","10",".","46","38"
"01/14/2010","60","PM2.5","San Francisco","06-075-0005","AQS","16","26","9","25","60","42"
"01/15/2010","77","PM2.5","San Francisco","06-075-0005","AQS","14","8","6",".","77","38"
"01/16/2010","103","PM2.5","Concord","06-013-0002","AQS","15","31","9",".","103","34"
"01/17/2010","45","PM2.5","Concord","06-013-0002","AQS","7","35","1",".","45","22"
"01/18/2010","36","Ozone","San Francisco","06-075-0005","AQS","5","36","3",".","34","27"
"01/19/2010","47","PM2.5","San Francisco","06-075-0005","AQS","5","37","4",".","47","25"
"01/20/2010","40","Ozone","San Rafael","06-041-0001","AQS","5","40","7","15","30","26"
"01/21/2010","41","NO2","San Francisco","06-075-0005","AQS","7","34","3",".","28","41"
"01/22/2010","38","NO2","San Rafael","06-041-0001","AQS","9","32","7",".","30","38"
"01/23/2010","45","PM2.5","Livermore","06-001-0007","AQS","14","31","4","6","45","39"
"01/24/2010","62","PM2.5","Concord","06-013-0002","AQS","15","23","4",".","62","31"
"01/25/2010","37","PM2.5","Concord","06-013-0002","AQS","7","29","3",".","37","31"
"01/26/2010","48","PM2.5","Concord","06-013-0002","AQS","9","22","1","12","48","37"
"01/27/2010","57","PM2.5","Fremont - Chapel Way","06-001-1001","AQS","17","20","10",".","57","32"
"01/28/2010","71","PM2.5","San Francisco","06-075-0005","AQS","13","19","4",".","71","34"
"01/29/2010","74","PM2.5","Concord","06-013-0002","AQS","14","26","7",".","74","28"
"01/30/2010","43","PM2.5","San Francisco","06-075-0005","AQS","8","36","4",".","43","42"
"01/31/2010","54","PM2.5","Oakland West","06-001-0011","AQS","8","29","6",".","54","31"
"02/01/2010","64","PM2.5","Berkeley","06-001-2004","AQS","13","23","4","25","64","35"
"02/02/2010","60","PM2.5","Redwood City","06-081-1001","AQS","14","21","4",".","60","34"
"02/03/2010","51","PM2.5","San Francisco","06-075-0005","AQS","10","32","9",".","51","35"
"02/04/2010","40","PM2.5","San Francisco","06-075-0005","AQS","8","31","3",".","40","30"
"02/05/2010","42","NO2","Berkeley","06-001-2004","AQS","11","35","4",".","34","42"
"02/06/2010","35","PM2.5","San Rafael","06-041-0001","AQS","5","34","3",".","35","27"
"02/07/2010","35","PM2.5","Redwood City","06-081-1001","AQS","7","32","6","15","35","27"
"02/08/2010","39","PM2.5","San Francisco","06-075-0005","AQS","7","32","9",".","39","33"
"02/09/2010","35","Ozone","Bethel Island","06-013-1002","AQS","6","35","4",".","30","33"
"02/10/2010","36","PM2.5","San Francisco","06-075-0005","AQS","7","30","4",".","36","34"
"02/11/2010","35","PM2.5","San Francisco","06-075-0005","AQS","9","31","6",".","35","34"
"02/12/2010","31","NO2","Livermore","06-001-0007","AQS","7","30","4",".","27","31"
"02/13/2010","54","PM2.5","San Francisco","06-075-0005","AQS","8","32","11","18","54","40"
"02/14/2010","64","PM2.5","Fremont - Chapel Way","06-001-1001","AQS","10","32","9",".","64","31"
