"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2000","51","PM2.5","San Francisco","06-075-0005","AQS","8","27","4","19","51","25"
"01/02/2000","36","NO2","San Francisco","06-075-0005","AQS","8","26","4",".","20","36"
"01/03/2000","53","PM2.5","San Francisco","06-075-0005","AQS","18","8","7",".","53","43"
"01/04/2000","68","PM2.5","San Francisco","06-075-0005","AQS","19","7","7",".","68","43"
"01/05/2000","50","PM2.5","San Francisco","06-075-0005","AQS","26","11","7",".","50","46"
"01/06/2000","69","PM2.5","San Francisco","06-075-0005","AQS","28","5","11",".","69","52"
"01/07/2000","111","PM2.5","San Francisco","06-075-0005","AQS","20","16","14","49","111","47"
"01/08/2000","40","PM2.5","San Francisco","06-075-0005","AQS","16","16","4",".","40","33"
"01/09/2000","41","PM2.5","San Francisco","06-075-0005","AQS","15","25","4",".","41","31"
"01/10/2000","28","NO2","San Francisco","06-075-0005","AQS","11","18","4",".","18","28"
"01/11/2000","32","NO2","San Francisco","06-075-0005","AQS","13","15","3",".","16","32"
"01/12/2000","56","PM2.5","San Francisco","06-075-0005","AQS","16","6","6",".","56","45"
"01/13/2000","49","PM2.5","San Francisco","06-075-0005","AQS","19","8","4","21","49","43"
"01/14/2000","59","PM2.5","San Francisco","06-075-0005","AQS","25","4","11",".","59","34"
"01/15/2000","52","PM2.5","San Francisco","06-075-0005","AQS","25","29","9",".","52","33"
"01/16/2000","37","NO2","San Francisco","06-075-0005","AQS","11","30","4",".","28","37"
"01/17/2000","35","NO2","San Francisco","06-075-0005","AQS","13","4","10",".",".","35"
"01/18/2000","49","PM2.5","San Francisco","06-075-0005","AQS","16","3","7",".","49","32"
"01/19/2000","43","PM2.5","San Francisco","06-075-0005","AQS","16","17","6","13","43","25"
"01/20/2000","40","NO2","San Francisco","06-075-0005","AQS","18","19","4",".","33","40"
"01/21/2000","40","PM2.5","San Francisco","06-075-0005","AQS","26","16","4",".","40","37"
"01/22/2000","58","PM2.5","San Francisco","06-075-0005","AQS","14","13","6",".","58","30"
"01/23/2000","28","PM2.5","San Francisco","06-075-0005","AQS","14","19","3",".","28","23"
"01/24/2000","39","NO2","San Francisco","06-075-0005","AQS","19","11","4",".","20","39"
"01/25/2000","33","NO2","San Francisco","06-075-0005","AQS","16","20","3","10","22","33"
"01/26/2000","40","NO2","San Francisco","06-075-0005","AQS","19","8","11",".","36","40"
"01/27/2000","58","PM2.5","San Francisco","06-075-0005","AQS","20","7","11",".","58","34"
"01/28/2000","63","PM2.5","San Francisco","06-075-0005","AQS","22","6","6",".","63","36"
"01/29/2000","82","PM2.5","San Francisco","06-075-0005","AQS","18","24","16",".","82","45"
"01/30/2000","28","Ozone","San Francisco","06-075-0005","AQS","15","28","4",".","25","19"
"01/31/2000","41","NO2","San Francisco","06-075-0005","AQS","15","17","3","19","36","41"
"02/01/2000","51","PM2.5","San Francisco","06-075-0005","AQS","14","10","7",".","51","37"
"02/02/2000","42","NO2","San Francisco","06-075-0005","AQS","17","10","7",".",".","42"
"02/03/2000","62","PM2.5","San Francisco","06-075-0005","AQS","22","24","7",".","62","47"
"02/04/2000","38","NO2","San Francisco","06-075-0005","AQS","16","27","3",".","31","38"
"02/05/2000","38","NO2","San Francisco","06-075-0005","AQS","17","28","4",".","33","38"
"02/06/2000","39","NO2","San Francisco","06-075-0005","AQS","20","16","4","20",".","39"
"02/07/2000","72","PM2.5","San Francisco","06-075-0005","AQS","22","6","6",".","72","40"
"02/08/2000","69","PM2.5","San Francisco","06-075-0005","AQS","18","10","4",".","69","36"
"02/09/2000","39","PM2.5","San Francisco","06-075-0005","AQS","15","22","4",".","39","28"
"02/10/2000","40","NO2","San Francisco","06-075-0005","AQS","14","19","3",".","25","40"
"02/11/2000","35","NO2","San Francisco","06-075-0005","AQS","16","26","4",".","29","35"
"02/12/2000","29","NO2","San Francisco","06-075-0005","AQS","15","26","1","8","19","29"
"02/13/2000","29","Ozone","San Francisco","06-075-0005","AQS","13","29","3",".","11","13"
"02/14/2000","36","PM2.5","San Francisco","06-075-0005","AQS","18","33","1",".","36","35"
"02/15/2000","58","PM2.5","San Francisco","06-075-0005","AQS","17","10","7",".","58","46"
"02/16/2000","44","PM2.5","San Francisco","06-075-0005","AQS","18","19","6",".","44","43"
"02/17/2000","51","PM2.5","San Francisco","06-075-0005","AQS","23","20","4",".","51","50"
"02/18/2000","49","PM2.5","San Francisco","06-075-0005","AQS","14","14","9","27","49","38"
"02/19/2000","52","PM2.5","San Francisco","06-075-0005","AQS","15","13","17",".","52","41"
"02/20/2000","34","Ozone","San Francisco","06-075-0005","AQS","14","34","7",".","30","33"
"02/21/2000","31","Ozone","San Francisco","06-075-0005","AQS","9","31","10",".","23","30"
"02/22/2000","31","Ozone","San Francisco","06-075-0005","AQS","13","31","1",".","20","22"
"02/23/2000","50","NO2","San Francisco","06-075-0005","AQS","13",".",".",".","29","50"
"02/24/2000","42","NO2","San Francisco","06-075-0005","AQS","15","23","6","15","28","42"
"02/25/2000","39","NO2","San Francisco","06-075-0005","AQS","17","30","7",".","32","39"
"02/26/2000","36","Ozone","San Francisco","06-075-0005","AQS","15","36","1",".","20","14"
"02/27/2000","38","Ozone","San Francisco","06-075-0005","AQS","11","38","1",".","25","22"
"02/28/2000","34","NO2","San Francisco","06-075-0005","AQS","13","31","1",".",".","34"
"02/29/2000","37","NO2","San Francisco","06-075-0005","AQS","13","31","3",".",".","37"
"03/01/2000","48","PM2.5","San Francisco","06-075-0005","AQS","14","22","13","31","48","37"
"03/02/2000","38","NO2","San Francisco","06-075-0005","AQS","13","24","3",".","30","38"
"03/03/2000","40","PM2.5","San Francisco","06-075-0005","AQS","16","27","4",".","40","38"
"03/04/2000","32","Ozone","San Francisco","06-075-0005","AQS","11","32","4",".","30","19"
"03/05/2000","31","Ozone","San Francisco","06-075-0005","AQS","10","31","1",".","28","22"
"03/06/2000","40","PM2.5","San Francisco","06-075-0005","AQS","14","23","4",".","40","38"
"03/07/2000","40","NO2","San Francisco","06-075-0005","AQS","14","27","3","18","28","40"
"03/08/2000","42","NO2","San Francisco","06-075-0005","AQS","19","19","4",".","26","42"
"03/09/2000","35","PM2.5","San Francisco","06-075-0005","AQS","18","31","3",".","35","35"
"03/10/2000","61","PM2.5","San Francisco","06-075-0005","AQS","15","22","16",".","61","37"
"03/11/2000","43","PM2.5","San Francisco","06-075-0005","AQS","15","29","6",".","43","40"
"03/12/2000","55","PM2.5","San Francisco","06-075-0005","AQS","18","24","20",".","55","39"
"03/13/2000","42","PM2.5","San Francisco","06-075-0005","AQS","13","29","3","22","42","38"
"03/14/2000","36","NO2","San Francisco","06-075-0005","AQS","15","14","17",".",".","36"
"03/15/2000","49","NO2","San Francisco","06-075-0005","AQS","19","24","21",".",".","49"
"03/16/2000","44","PM2.5","San Francisco","06-075-0005","AQS","14","27","3",".","44","35"
"03/17/2000","56","PM2.5","San Francisco","06-075-0005","AQS","17","20","6",".","56","42"
"03/18/2000","63","PM2.5","San Francisco","06-075-0005","AQS","26","24","10",".","63","42"
"03/19/2000","35","PM2.5","San Francisco","06-075-0005","AQS","11","31","3","22","35","24"
"03/20/2000","30","Ozone","San Francisco","06-075-0005","AQS","8","30","4",".","16","24"
"03/21/2000","44","NO2","San Francisco","06-075-0005","AQS","13","29","4",".","24","44"
"03/22/2000","52","PM2.5","San Francisco","06-075-0005","AQS","13","27","14",".","52","42"
"03/23/2000","35","PM2.5","San Francisco","06-075-0005","AQS","9","30","3",".","35","20"
"03/24/2000","43","PM2.5","San Francisco","06-075-0005","AQS","10","33","4",".","43","40"
"03/25/2000","39","PM2.5","San Francisco","06-075-0005","AQS","9","35","3","18","39","19"
"03/26/2000","36","Ozone","San Francisco","06-075-0005","AQS","8","36","3",".","34","28"
"03/27/2000","31","Ozone","San Francisco","06-075-0005","AQS","8","31","3",".","24","21"
"03/28/2000","33","PM2.5","San Francisco","06-075-0005","AQS","9","25","6",".","33","30"
"03/29/2000","55","PM2.5","San Francisco","06-075-0005","AQS","9","28","4",".","55","35"
"03/30/2000","60","PM2.5","San Francisco","06-075-0005","AQS","15","21","4",".","60","49"
"03/31/2000","42","NO2","San Francisco","06-075-0005","AQS","15","31","7","27","32","42"
"04/01/2000","61","NO2","San Francisco","06-075-0005","AQS","17","38","10",".",".","61"
