"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2004","37","PM2.5","San Francisco","06-075-0005","AQS","14","35","1",".","37","36"
"01/02/2004","42","PM2.5","San Francisco","06-075-0005","AQS","16","18","1",".","42","36"
"01/03/2004","37","PM2.5","San Francisco","06-075-0005","AQS","17","23","6",".","37","37"
"01/04/2004","60","PM2.5","San Francisco","06-075-0005","AQS","23","14","7","19","60","31"
"01/05/2004","45","PM2.5","San Francisco","06-075-0005","AQS","10","17","9",".","45","40"
"01/06/2004","81","PM2.5","San Francisco","06-075-0005","AQS","16","14","3",".","81","38"
"01/07/2004","43","PM2.5","San Francisco","06-075-0005","AQS","13","9","9",".","43","41"
"01/08/2004","68","PM2.5","San Francisco","06-075-0005","AQS","16","6","11",".","68","42"
"01/09/2004","58","PM2.5","San Francisco","06-075-0005","AQS","16","16","6",".","58","39"
"01/10/2004","58","PM2.5","San Francisco","06-075-0005","AQS","11","16","7","18","58","32"
"01/11/2004","67","PM2.5","San Francisco","06-075-0005","AQS","16","13","10",".","67","33"
"01/12/2004","149","PM2.5","San Francisco","06-075-0005","AQS","16","3","6",".","149","32"
"01/13/2004","104","PM2.5","San Francisco","06-075-0005","AQS","11","6","6",".","104","31"
"01/14/2004","122","PM2.5","San Francisco","06-075-0005","AQS","10","2","7",".","122","32"
"01/15/2004","63","PM2.5","San Francisco","06-075-0005","AQS","13","17","9",".","63","30"
"01/16/2004","71","PM2.5","San Francisco","06-075-0005","AQS","9","12","10","22","71","25"
"01/17/2004","76","PM2.5","San Francisco","06-075-0005","AQS","9","15","4",".","76","24"
"01/18/2004","89","PM2.5","San Francisco","06-075-0005","AQS","7","15","7",".","89","25"
"01/19/2004","63","PM2.5","San Francisco","06-075-0005","AQS","8","6","6",".","63","30"
"01/20/2004","61","PM2.5","San Francisco","06-075-0005","AQS","15","13","7",".","61","32"
"01/21/2004","59","PM2.5","San Francisco","06-075-0005","AQS","18","13","7",".","59","41"
"01/22/2004","58","PM2.5","San Francisco","06-075-0005","AQS","18","11","16","23","58","35"
"01/23/2004","77","PM2.5","San Francisco","06-075-0005","AQS","13","10","14",".","77","32"
"01/24/2004","71","PM2.5","San Francisco","06-075-0005","AQS","9","20","10",".","71","35"
"01/25/2004","36","NO2","San Francisco","06-075-0005","AQS","13","24","4",".","35","36"
"01/26/2004","33","PM2.5","San Francisco","06-075-0005","AQS","13","27","1",".","33","32"
"01/27/2004","36","NO2","San Francisco","06-075-0005","AQS","13","22","1",".","25","36"
"01/28/2004","52","PM2.5","San Francisco","06-075-0005","AQS","13","13","9","19","52","37"
"01/29/2004","60","PM2.5","San Francisco","06-075-0005","AQS","14","21","17",".","60","32"
"01/30/2004","42","NO2","San Francisco","06-075-0005","AQS","11","27","1",".","23","42"
"01/31/2004","34","NO2","San Francisco","06-075-0005","AQS","9","31","3",".","21","34"
"02/01/2004","39","NO2","San Francisco","06-075-0005","AQS","10","27","6",".","28","39"
"02/02/2004","37","NO2","San Francisco","06-075-0005","AQS","13","28","1",".","28","37"
"02/03/2004","34","NO2","San Francisco","06-075-0005","AQS","11","24","3","12","27","34"
"02/04/2004","53","PM2.5","San Francisco","06-075-0005","AQS","14","19","4",".","53","."
"02/05/2004","64","PM2.5","San Francisco","06-075-0005","AQS","18","4",".",".","64","."
"02/06/2004","55","PM2.5","San Francisco","06-075-0005","AQS","20","21","4",".","55","32"
"02/07/2004","33","NO2","San Francisco","06-075-0005","AQS","10","24","6",".","21","33"
"02/08/2004","37","NO2","San Francisco","06-075-0005","AQS","10","24","7",".","35","37"
"02/09/2004","49","PM2.5","San Francisco","06-075-0005","AQS","14","22","10","19","49","41"
"02/10/2004","45","NO2","San Francisco","06-075-0005","AQS","14","23","7",".","28","45"
"02/11/2004","67","PM2.5","San Francisco","06-075-0005","AQS","15","12","11",".","67","50"
"02/12/2004","87","PM2.5","San Francisco","06-075-0005","AQS","22","18","7",".","87","50"
"02/13/2004","57","PM2.5","San Francisco","06-075-0005","AQS","25","31","6",".","57","46"
"02/14/2004","54","PM2.5","San Francisco","06-075-0005","AQS","13","28","11",".","54","42"
"02/15/2004","62","PM2.5","San Francisco","06-075-0005","AQS","13","28","7","24","62","41"
"02/16/2004","31","Ozone","San Francisco","06-075-0005","AQS","13","31","3",".","18","14"
"02/17/2004","29","Ozone","San Francisco","06-075-0005","AQS","11","29","1",".","18","14"
"02/18/2004","34","PM2.5","San Francisco","06-075-0005","AQS","11","31","3",".","34","34"
"02/19/2004","38","NO2","San Francisco","06-075-0005","AQS","14","28","3",".","25","38"
"02/20/2004","30","Ozone","San Francisco","06-075-0005","AQS","14","30","1",".","16","26"
"02/21/2004","32","NO2","San Francisco","06-075-0005","AQS","13","26","6","13","30","32"
"02/22/2004","43","PM2.5","San Francisco","06-075-0005","AQS","11","32","4",".","43","34"
"02/23/2004","38","PM2.5","San Francisco","06-075-0005","AQS","19","34","23",".","38","32"
"02/24/2004","35","PM2.5","San Francisco","06-075-0005","AQS","11","33","1",".","35","22"
"02/25/2004","38","PM2.5","San Francisco","06-075-0005","AQS","9","38","0",".","38","14"
"02/26/2004","34","PM2.5","San Francisco","06-075-0005","AQS","13","34","1",".","34","25"
"02/27/2004","42","NO2","San Francisco","06-075-0005","AQS","13","26","6","14","31","42"
"02/28/2004","29","NO2","San Francisco","06-075-0005","AQS","9","28","11",".","20","29"
"02/29/2004","32","Ozone","San Francisco","06-075-0005","AQS","10","32","1",".","21","32"
"03/01/2004","33","Ozone","San Francisco","06-075-0005","AQS","8","33","1",".","17","22"
"03/02/2004","43","NO2","San Francisco","06-075-0005","AQS","9","25","4",".","15","43"
"03/03/2004","38","NO2","San Francisco","06-075-0005","AQS","11","19","6",".","33","38"
"03/04/2004","43","PM2.5","San Francisco","06-075-0005","AQS","11","28","6","21","43","34"
"03/05/2004","38","PM2.5","San Francisco","06-075-0005","AQS","13","27","4",".","38","38"
"03/06/2004","34","PM2.5","San Francisco","06-075-0005","AQS","10","28","3",".","34","29"
"03/07/2004","55","PM2.5","San Francisco","06-075-0005","AQS","16","25","17",".","55","39"
"03/08/2004","67","PM2.5","San Francisco","06-075-0005","AQS","18","27","7",".","67","53"
"03/09/2004","65","PM2.5","San Francisco","06-075-0005","AQS","19","19","20",".","65","44"
"03/10/2004","51","PM2.5","San Francisco","06-075-0005","AQS","17","25","6","26","51","39"
"03/11/2004","70","PM2.5","San Francisco","06-075-0005","AQS","25","26","13",".","70","42"
"03/12/2004","73","PM2.5","San Francisco","06-075-0005","AQS","13","20","17",".","73","39"
"03/13/2004","82","PM2.5","San Francisco","06-075-0005","AQS","14","23","11",".","82","36"
"03/14/2004","73","PM2.5","San Francisco","06-075-0005","AQS","11","28","20",".","73","32"
"03/15/2004","64","PM2.5","San Francisco","06-075-0005","AQS","20","19","10",".","64","47"
"03/16/2004","64","PM2.5","San Francisco","06-075-0005","AQS","23","27","9","31","64","43"
"03/17/2004","68","PM2.5","San Francisco","06-075-0005","AQS","31","22","16",".","68","42"
"03/18/2004","65","PM2.5","San Francisco","06-075-0005","AQS","11","24","7",".","65","43"
"03/19/2004","48","PM2.5","San Francisco","06-075-0005","AQS","11","22","3",".","48","38"
"03/20/2004","60","PM2.5","San Francisco","06-075-0005","AQS","17","42","7",".","60","38"
"03/21/2004","57","PM2.5","San Francisco","06-075-0005","AQS","9","45","3",".","57","13"
"03/22/2004","38","PM2.5","San Francisco","06-075-0005","AQS","11","31","1","14","38","14"
"03/23/2004","38","PM2.5","San Francisco","06-075-0005","AQS","8","34","1",".","38","15"
"03/24/2004","40","PM2.5","San Francisco","06-075-0005","AQS","9","35","1",".","40","20"
"03/25/2004","33","PM2.5","San Francisco","06-075-0005","AQS","11","31","3",".","33","30"
"03/26/2004","42","NO2","San Francisco","06-075-0005","AQS","10","36","1",".","36","42"
"03/27/2004","37","PM2.5","San Francisco","06-075-0005","AQS","9","31","4",".","37","34"
"03/28/2004","53","PM2.5","San Francisco","06-075-0005","AQS","11","31","17","16","53","50"
"03/29/2004","60","PM2.5","San Francisco","06-075-0005","AQS","16","31","11",".","60","35"
"03/30/2004","34","Ozone","San Francisco","06-075-0005","AQS","10","34","1",".","33","21"
"03/31/2004","40","PM2.5","San Francisco","06-075-0005","AQS","10","31","4",".","40","35"
"04/01/2004","40","PM2.5","San Francisco","06-075-0005","AQS","11","38","6",".","40","35"
"04/02/2004","45","NO2","San Francisco","06-075-0005","AQS","9","37","4",".","25","45"
"04/03/2004","58","PM2.5","San Francisco","06-075-0005","AQS","11","43","9","23","58","46"
"04/04/2004","47","PM2.5","San Francisco","06-075-0005","AQS","10","44","1",".","47","8"
"04/05/2004","38","Ozone","San Francisco","06-075-0005","AQS","8","38","1",".","33","17"
"04/06/2004","35","PM2.5","San Francisco","06-075-0005","AQS","9","33","1",".","35","25"
"04/07/2004","46","PM2.5","San Francisco","06-075-0005","AQS","13","29","4",".","46","36"
"04/08/2004","52","PM2.5","San Francisco","06-075-0005","AQS","10","31","3",".","52","17"
"04/09/2004","65","PM2.5","San Francisco","06-075-0005","AQS","11","25",".","25","65","28"
"04/10/2004","58","PM2.5","San Francisco","06-075-0005","AQS","11","39",".",".","58","28"
"04/11/2004","53","PM2.5","San Francisco","06-075-0005","AQS","8","42",".",".","53","10"
"04/12/2004","45","PM2.5","San Francisco","06-075-0005","AQS","9","40",".",".","45","16"
"04/13/2004","39","Ozone","San Francisco","06-075-0005","AQS","10","39","3",".",".","28"
"04/14/2004","39","Ozone","San Francisco","06-075-0005","AQS","10","39","1",".","37","25"
"04/15/2004","42","NO2","San Francisco","06-075-0005","AQS","9","39","1","16","22","42"
"04/16/2004","34","Ozone","San Francisco","06-075-0005","AQS","9","34","3",".","20","34"
"04/17/2004","37","Ozone","San Francisco","06-075-0005","AQS","7","37","3",".","15","19"
"04/18/2004","35","Ozone","San Francisco","06-075-0005","AQS","9","35","1",".","20","29"
"04/19/2004","39","Ozone","San Francisco","06-075-0005","AQS","8","39","1",".","27","23"
"04/20/2004","39","Ozone","San Francisco","06-075-0005","AQS","9","39","1",".","30","21"
"04/21/2004","38","Ozone","San Francisco","06-075-0005","AQS","9","38","1","16","36","20"
"04/22/2004","35","NO2","San Francisco","06-075-0005","AQS","9","33","7",".","26","35"
"04/23/2004","51","PM2.5","San Francisco","06-075-0005","AQS","11","28","11",".","51","34"
"04/24/2004","58","PM2.5","San Francisco","06-075-0005","AQS","11","36","6",".","58","38"
"04/25/2004","56","PM2.5","San Francisco","06-075-0005","AQS","16","54","17",".","56","45"
"04/26/2004","59","PM2.5","San Francisco","06-075-0005","AQS","17",".","9",".","59","47"
"04/27/2004","65","PM2.5","San Francisco","06-075-0005","AQS","25","34","7","40","65","53"
"04/28/2004","64","PM2.5","San Francisco","06-075-0005","AQS","10","36","3",".","64","39"
"04/29/2004","37","PM2.5","San Francisco","06-075-0005","AQS","9","36",".",".","37","24"
"04/30/2004","54","PM2.5","San Francisco","06-075-0005","AQS","10","34",".",".","54","."
"05/01/2004","62","PM2.5","San Francisco","06-075-0005","AQS","8","36","7",".","62","."
"05/02/2004","59","PM2.5","San Francisco","06-075-0005","AQS","13","31","29",".","59","."
"05/03/2004","37","Ozone","San Francisco","06-075-0005","AQS","8","37","1","17","36","."
"05/04/2004","40","PM2.5","San Francisco","06-075-0005","AQS","9","31","1",".","40","19"
"05/05/2004","32","Ozone","San Francisco","06-075-0005","AQS","7","32","1",".","27","15"
"05/06/2004","35","Ozone","San Francisco","06-075-0005","AQS","9","35","3",".","28","26"
"05/07/2004","34","PM2.5","San Francisco","06-075-0005","AQS","9","25","0",".","34","27"
"05/08/2004","32","Ozone","San Francisco","06-075-0005","AQS","8","32","1",".","25","18"
"05/09/2004","35","PM2.5","San Francisco","06-075-0005","AQS","8","35","13","18","35","25"
"05/10/2004","34","Ozone","San Francisco","06-075-0005","AQS","6","34","1",".","27","18"
"05/11/2004","37","NO2","San Francisco","06-075-0005","AQS","8","34","1",".","35","37"
"05/12/2004","49","PM2.5","San Francisco","06-075-0005","AQS","9","27","3",".","49","39"
"05/13/2004","42","PM2.5","San Francisco","06-075-0005","AQS","8","28","1",".","42","12"
"05/14/2004","51","PM2.5","San Francisco","06-075-0005","AQS","9","31","3",".","51","15"
"05/15/2004","48","PM2.5","San Francisco","06-075-0005","AQS","7","31","1","22","48","21"
"05/16/2004","35","PM2.5","San Francisco","06-075-0005","AQS","6","29","1",".","35","22"
"05/17/2004","28","Ozone","San Francisco","06-075-0005","AQS","7","28","1",".","25","11"
